"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"07/25/2018 00:00:00","EDT","CAPITL",61757,1202,181,0,38,-19
"07/25/2018 00:00:00","EDT","CENTRL",61754,1133,1458,0,46,-1150
"07/25/2018 00:00:00","EDT","DUNWOD",61760,198,247,270,1,-37
"07/25/2018 00:00:00","EDT","GENESE",61753,822,233,0,4,-82
"07/25/2018 00:00:00","EDT","HUD VL",61758,771,145,218,217,-16
"07/25/2018 00:00:00","EDT","LONGIL",61762,1298,1445,0,156,-100
"07/25/2018 00:00:00","EDT","MHK VL",61756,533,176,0,6,-150
"07/25/2018 00:00:00","EDT","MILLWD",61759,152,76,50,49,-14
"07/25/2018 00:00:00","EDT","N.Y.C.",61761,2683,1713,2055,269,-59
"07/25/2018 00:00:00","EDT","NORTH",61755,96,338,0,1,-251
"07/25/2018 00:00:00","EDT","WEST",61752,1053,606,0,178,-41
"07/25/2018 01:00:00","EDT","CAPITL",61757,1095,220,0,39,-1
"07/25/2018 01:00:00","EDT","CENTRL",61754,1078,1449,0,70,-1130
"07/25/2018 01:00:00","EDT","DUNWOD",61760,188,236,248,4,-29
"07/25/2018 01:00:00","EDT","GENESE",61753,769,227,0,21,-7
"07/25/2018 01:00:00","EDT","HUD VL",61758,720,142,200,207,-8
"07/25/2018 01:00:00","EDT","LONGIL",61762,1119,1443,0,149,-101
"07/25/2018 01:00:00","EDT","MHK VL",61756,524,169,0,19,-132
"07/25/2018 01:00:00","EDT","MILLWD",61759,163,70,47,69,-6
"07/25/2018 01:00:00","EDT","N.Y.C.",61761,2589,1683,1880,266,-51
"07/25/2018 01:00:00","EDT","NORTH",61755,96,336,0,4,-223
"07/25/2018 01:00:00","EDT","WEST",61752,987,611,0,192,-36
"07/25/2018 02:00:00","EDT","CAPITL",61757,1045,222,0,42,-1
"07/25/2018 02:00:00","EDT","CENTRL",61754,1026,1439,0,63,-1126
"07/25/2018 02:00:00","EDT","DUNWOD",61760,182,230,234,13,-29
"07/25/2018 02:00:00","EDT","GENESE",61753,734,225,0,16,-57
"07/25/2018 02:00:00","EDT","HUD VL",61758,700,139,189,140,-8
"07/25/2018 02:00:00","EDT","LONGIL",61762,992,1442,0,163,-88
"07/25/2018 02:00:00","EDT","MHK VL",61756,497,167,0,20,-120
"07/25/2018 02:00:00","EDT","MILLWD",61759,144,66,44,77,-1
"07/25/2018 02:00:00","EDT","N.Y.C.",61761,2506,1676,1762,284,-51
"07/25/2018 02:00:00","EDT","NORTH",61755,92,333,0,0,-197
"07/25/2018 02:00:00","EDT","WEST",61752,935,601,0,172,-26
"07/25/2018 03:00:00","EDT","CAPITL",61757,1021,221,0,40,-1
"07/25/2018 03:00:00","EDT","CENTRL",61754,1019,1435,0,62,-1113
"07/25/2018 03:00:00","EDT","DUNWOD",61760,182,223,224,10,-28
"07/25/2018 03:00:00","EDT","GENESE",61753,716,227,0,19,-50
"07/25/2018 03:00:00","EDT","HUD VL",61758,675,135,181,163,-8
"07/25/2018 03:00:00","EDT","LONGIL",61762,938,1441,0,182,-97
"07/25/2018 03:00:00","EDT","MHK VL",61756,479,169,0,15,-98
"07/25/2018 03:00:00","EDT","MILLWD",61759,143,65,43,77,0
"07/25/2018 03:00:00","EDT","N.Y.C.",61761,2462,1680,1672,284,-51
"07/25/2018 03:00:00","EDT","NORTH",61755,87,331,0,0,-194
"07/25/2018 03:00:00","EDT","WEST",61752,906,595,0,199,-11
"07/25/2018 04:00:00","EDT","CAPITL",61757,1028,227,0,96,0
"07/25/2018 04:00:00","EDT","CENTRL",61754,1033,1444,0,59,-1110
"07/25/2018 04:00:00","EDT","DUNWOD",61760,180,221,219,16,-29
"07/25/2018 04:00:00","EDT","GENESE",61753,720,230,0,13,-50
"07/25/2018 04:00:00","EDT","HUD VL",61758,674,136,178,169,-8
"07/25/2018 04:00:00","EDT","LONGIL",61762,934,1442,0,183,-147
"07/25/2018 04:00:00","EDT","MHK VL",61756,483,169,0,15,-90
"07/25/2018 04:00:00","EDT","MILLWD",61759,94,67,42,84,0
"07/25/2018 04:00:00","EDT","N.Y.C.",61761,2500,1754,1548,291,-51
"07/25/2018 04:00:00","EDT","NORTH",61755,90,332,0,0,-182
"07/25/2018 04:00:00","EDT","WEST",61752,903,606,0,193,-9
"07/25/2018 05:00:00","EDT","CAPITL",61757,1110,191,0,34,0
"07/25/2018 05:00:00","EDT","CENTRL",61754,1078,1467,0,66,-1106
"07/25/2018 05:00:00","EDT","DUNWOD",61760,193,228,223,18,-28
"07/25/2018 05:00:00","EDT","GENESE",61753,753,247,0,19,-50
"07/25/2018 05:00:00","EDT","HUD VL",61758,692,139,180,150,-8
"07/25/2018 05:00:00","EDT","LONGIL",61762,1017,1445,0,153,-88
"07/25/2018 05:00:00","EDT","MHK VL",61756,486,181,0,16,-83
"07/25/2018 05:00:00","EDT","MILLWD",61759,87,68,42,86,0
"07/25/2018 05:00:00","EDT","N.Y.C.",61761,2623,1813,1565,289,-51
"07/25/2018 05:00:00","EDT","NORTH",61755,91,337,0,0,-187
"07/25/2018 05:00:00","EDT","WEST",61752,940,620,0,164,-19
"07/25/2018 06:00:00","EDT","CAPITL",61757,1278,113,0,46,-250
"07/25/2018 06:00:00","EDT","CENTRL",61754,1139,1501,0,53,-1101
"07/25/2018 06:00:00","EDT","DUNWOD",61760,207,243,239,288,-73
"07/25/2018 06:00:00","EDT","GENESE",61753,816,264,0,8,-50
"07/25/2018 06:00:00","EDT","HUD VL",61758,744,149,184,209,-21
"07/25/2018 06:00:00","EDT","LONGIL",61762,1199,1447,0,159,-128
"07/25/2018 06:00:00","EDT","MHK VL",61756,520,194,0,8,-33
"07/25/2018 06:00:00","EDT","MILLWD",61759,130,72,45,63,0
"07/25/2018 06:00:00","EDT","N.Y.C.",61761,2850,1977,1697,200,-75
"07/25/2018 06:00:00","EDT","NORTH",61755,100,343,0,0,-158
"07/25/2018 06:00:00","EDT","WEST",61752,984,639,0,201,-4
"07/25/2018 07:00:00","EDT","CAPITL",61757,1453,67,0,27,-301
"07/25/2018 07:00:00","EDT","CENTRL",61754,1225,1536,0,62,-1103
"07/25/2018 07:00:00","EDT","DUNWOD",61760,280,221,260,285,-148
"07/25/2018 07:00:00","EDT","GENESE",61753,905,283,0,13,-123
"07/25/2018 07:00:00","EDT","HUD VL",61758,815,165,205,256,-18
"07/25/2018 07:00:00","EDT","LONGIL",61762,1434,1451,0,150,-75
"07/25/2018 07:00:00","EDT","MHK VL",61756,552,214,0,40,-126
"07/25/2018 07:00:00","EDT","MILLWD",61759,164,80,47,54,-6
"07/25/2018 07:00:00","EDT","N.Y.C.",61761,3220,2136,1842,214,-244
"07/25/2018 07:00:00","EDT","NORTH",61755,112,352,0,0,-254
"07/25/2018 07:00:00","EDT","WEST",61752,1079,673,0,338,-20
"07/25/2018 08:00:00","EDT","CAPITL",61757,1555,65,0,83,-309
"07/25/2018 08:00:00","EDT","CENTRL",61754,1271,1568,0,59,-1084
"07/25/2018 08:00:00","EDT","DUNWOD",61760,380,139,271,278,-123
"07/25/2018 08:00:00","EDT","GENESE",61753,956,296,0,2,-110
"07/25/2018 08:00:00","EDT","HUD VL",61758,875,179,220,227,-10
"07/25/2018 08:00:00","EDT","LONGIL",61762,1648,1463,0,143,-109
"07/25/2018 08:00:00","EDT","MHK VL",61756,594,224,0,28,-38
"07/25/2018 08:00:00","EDT","MILLWD",61759,189,79,49,46,-1
"07/25/2018 08:00:00","EDT","N.Y.C.",61761,3526,2242,1907,214,-228
"07/25/2018 08:00:00","EDT","NORTH",61755,115,362,0,0,-264
"07/25/2018 08:00:00","EDT","WEST",61752,1149,718,0,273,-28
"07/25/2018 09:00:00","EDT","CAPITL",61757,1640,66,0,71,-359
"07/25/2018 09:00:00","EDT","CENTRL",61754,1320,1587,0,57,-1083
"07/25/2018 09:00:00","EDT","DUNWOD",61760,441,104,281,300,-125
"07/25/2018 09:00:00","EDT","GENESE",61753,999,310,0,4,-110
"07/25/2018 09:00:00","EDT","HUD VL",61758,913,187,236,213,-88
"07/25/2018 09:00:00","EDT","LONGIL",61762,1792,1466,0,165,-101
"07/25/2018 09:00:00","EDT","MHK VL",61756,632,233,0,51,-48
"07/25/2018 09:00:00","EDT","MILLWD",61759,236,54,51,33,-5
"07/25/2018 09:00:00","EDT","N.Y.C.",61761,3774,2251,2007,234,-232
"07/25/2018 09:00:00","EDT","NORTH",61755,123,369,0,0,-281
"07/25/2018 09:00:00","EDT","WEST",61752,1220,747,0,205,-29
"07/25/2018 10:00:00","EDT","CAPITL",61757,1720,63,0,25,-359
"07/25/2018 10:00:00","EDT","CENTRL",61754,1378,1598,0,72,-1083
"07/25/2018 10:00:00","EDT","DUNWOD",61760,460,96,301,302,-122
"07/25/2018 10:00:00","EDT","GENESE",61753,1051,315,0,26,-121
"07/25/2018 10:00:00","EDT","HUD VL",61758,953,192,248,208,-85
"07/25/2018 10:00:00","EDT","LONGIL",61762,1932,1468,0,163,-19
"07/25/2018 10:00:00","EDT","MHK VL",61756,665,237,0,62,-191
"07/25/2018 10:00:00","EDT","MILLWD",61759,286,19,56,66,-18
"07/25/2018 10:00:00","EDT","N.Y.C.",61761,3930,2099,2172,235,-304
"07/25/2018 10:00:00","EDT","NORTH",61755,124,371,0,0,-281
"07/25/2018 10:00:00","EDT","WEST",61752,1209,846,0,305,-34
"07/25/2018 11:00:00","EDT","CAPITL",61757,1778,64,0,45,-418
"07/25/2018 11:00:00","EDT","CENTRL",61754,1427,1608,0,72,-1083
"07/25/2018 11:00:00","EDT","DUNWOD",61760,477,91,313,463,-165
"07/25/2018 11:00:00","EDT","GENESE",61753,1098,318,0,13,-127
"07/25/2018 11:00:00","EDT","HUD VL",61758,1007,176,260,230,-220
"07/25/2018 11:00:00","EDT","LONGIL",61762,2036,1469,0,150,-24
"07/25/2018 11:00:00","EDT","MHK VL",61756,694,239,0,94,-184
"07/25/2018 11:00:00","EDT","MILLWD",61759,273,21,59,55,-15
"07/25/2018 11:00:00","EDT","N.Y.C.",61761,3997,2047,2247,548,-279
"07/25/2018 11:00:00","EDT","NORTH",61755,132,372,0,4,-235
"07/25/2018 11:00:00","EDT","WEST",61752,1265,857,0,489,-31
"07/25/2018 12:00:00","EDT","CAPITL",61757,1800,65,0,14,-363
"07/25/2018 12:00:00","EDT","CENTRL",61754,1469,1607,0,44,-1110
"07/25/2018 12:00:00","EDT","DUNWOD",61760,485,95,319,450,-178
"07/25/2018 12:00:00","EDT","GENESE",61753,1132,326,0,69,-123
"07/25/2018 12:00:00","EDT","HUD VL",61758,1041,177,265,217,-114
"07/25/2018 12:00:00","EDT","LONGIL",61762,2136,1471,0,177,-21
"07/25/2018 12:00:00","EDT","MHK VL",61756,710,237,0,40,-246
"07/25/2018 12:00:00","EDT","MILLWD",61759,280,18,60,83,-16
"07/25/2018 12:00:00","EDT","N.Y.C.",61761,4046,2001,2278,548,-267
"07/25/2018 12:00:00","EDT","NORTH",61755,130,373,0,0,-206
"07/25/2018 12:00:00","EDT","WEST",61752,1310,843,0,492,-30
"07/25/2018 13:00:00","EDT","CAPITL",61757,1820,64,0,0,-427
"07/25/2018 13:00:00","EDT","CENTRL",61754,1497,1613,0,16,-1165
"07/25/2018 13:00:00","EDT","DUNWOD",61760,491,95,327,471,-150
"07/25/2018 13:00:00","EDT","GENESE",61753,1158,327,0,12,-210
"07/25/2018 13:00:00","EDT","HUD VL",61758,1091,165,271,198,-118
"07/25/2018 13:00:00","EDT","LONGIL",61762,2208,1473,0,284,-23
"07/25/2018 13:00:00","EDT","MHK VL",61756,729,238,0,28,-262
"07/25/2018 13:00:00","EDT","MILLWD",61759,301,18,63,67,-40
"07/25/2018 13:00:00","EDT","N.Y.C.",61761,4064,1989,2314,648,-231
"07/25/2018 13:00:00","EDT","NORTH",61755,137,373,0,0,-236
"07/25/2018 13:00:00","EDT","WEST",61752,1357,859,0,514,-32
"07/25/2018 14:00:00","EDT","CAPITL",61757,1834,68,0,5,-453
"07/25/2018 14:00:00","EDT","CENTRL",61754,1567,1601,0,24,-1199
"07/25/2018 14:00:00","EDT","DUNWOD",61760,497,97,332,477,-146
"07/25/2018 14:00:00","EDT","GENESE",61753,1163,337,0,29,-210
"07/25/2018 14:00:00","EDT","HUD VL",61758,1099,175,279,207,-128
"07/25/2018 14:00:00","EDT","LONGIL",61762,2313,1475,0,264,-30
"07/25/2018 14:00:00","EDT","MHK VL",61756,740,238,0,59,-273
"07/25/2018 14:00:00","EDT","MILLWD",61759,301,19,64,76,-89
"07/25/2018 14:00:00","EDT","N.Y.C.",61761,4065,1984,2344,632,-231
"07/25/2018 14:00:00","EDT","NORTH",61755,134,372,0,2,-224
"07/25/2018 14:00:00","EDT","WEST",61752,1322,931,0,486,-41
"07/25/2018 15:00:00","EDT","CAPITL",61757,1829,67,0,1,-454
"07/25/2018 15:00:00","EDT","CENTRL",61754,1586,1596,0,1,-1233
"07/25/2018 15:00:00","EDT","DUNWOD",61760,495,113,332,461,-161
"07/25/2018 15:00:00","EDT","GENESE",61753,1158,353,0,1,-228
"07/25/2018 15:00:00","EDT","HUD VL",61758,1089,200,279,266,-105
"07/25/2018 15:00:00","EDT","LONGIL",61762,2339,1477,0,284,-38
"07/25/2018 15:00:00","EDT","MHK VL",61756,745,234,0,35,-272
"07/25/2018 15:00:00","EDT","MILLWD",61759,291,28,65,79,-76
"07/25/2018 15:00:00","EDT","N.Y.C.",61761,4039,1946,2346,628,-245
"07/25/2018 15:00:00","EDT","NORTH",61755,136,371,0,6,-219
"07/25/2018 15:00:00","EDT","WEST",61752,1249,988,0,555,-45
"07/25/2018 16:00:00","EDT","CAPITL",61757,1810,63,0,6,-573
"07/25/2018 16:00:00","EDT","CENTRL",61754,1622,1575,0,13,-1240
"07/25/2018 16:00:00","EDT","DUNWOD",61760,492,119,328,471,-147
"07/25/2018 16:00:00","EDT","GENESE",61753,1162,341,0,18,-235
"07/25/2018 16:00:00","EDT","HUD VL",61758,1096,196,278,282,-120
"07/25/2018 16:00:00","EDT","LONGIL",61762,2371,1476,0,307,-68
"07/25/2018 16:00:00","EDT","MHK VL",61756,760,224,0,62,-194
"07/25/2018 16:00:00","EDT","MILLWD",61759,259,79,65,119,-72
"07/25/2018 16:00:00","EDT","N.Y.C.",61761,3937,2036,2253,648,-243
"07/25/2018 16:00:00","EDT","NORTH",61755,137,370,0,0,-221
"07/25/2018 16:00:00","EDT","WEST",61752,1259,979,0,506,-44
"07/25/2018 17:00:00","EDT","CAPITL",61757,1796,62,0,9,-447
"07/25/2018 17:00:00","EDT","CENTRL",61754,1639,1558,0,23,-1230
"07/25/2018 17:00:00","EDT","DUNWOD",61760,446,157,330,462,-144
"07/25/2018 17:00:00","EDT","GENESE",61753,1179,328,0,23,-169
"07/25/2018 17:00:00","EDT","HUD VL",61758,1113,192,282,268,-60
"07/25/2018 17:00:00","EDT","LONGIL",61762,2353,1474,0,283,-23
"07/25/2018 17:00:00","EDT","MHK VL",61756,760,217,0,52,-179
"07/25/2018 17:00:00","EDT","MILLWD",61759,264,97,66,81,-71
"07/25/2018 17:00:00","EDT","N.Y.C.",61761,3796,2139,2217,661,-236
"07/25/2018 17:00:00","EDT","NORTH",61755,137,367,0,5,-208
"07/25/2018 17:00:00","EDT","WEST",61752,1253,962,0,445,-44
"07/25/2018 18:00:00","EDT","CAPITL",61757,1764,62,0,1,-437
"07/25/2018 18:00:00","EDT","CENTRL",61754,1610,1547,0,1,-1217
"07/25/2018 18:00:00","EDT","DUNWOD",61760,386,188,334,463,-163
"07/25/2018 18:00:00","EDT","GENESE",61753,1152,316,0,1,-225
"07/25/2018 18:00:00","EDT","HUD VL",61758,1096,187,282,269,-154
"07/25/2018 18:00:00","EDT","LONGIL",61762,2267,1472,0,265,-21
"07/25/2018 18:00:00","EDT","MHK VL",61756,754,212,0,26,-207
"07/25/2018 18:00:00","EDT","MILLWD",61759,251,97,67,27,-85
"07/25/2018 18:00:00","EDT","N.Y.C.",61761,3583,2104,2240,609,-239
"07/25/2018 18:00:00","EDT","NORTH",61755,135,363,0,1,-191
"07/25/2018 18:00:00","EDT","WEST",61752,1247,945,0,364,-55
"07/25/2018 19:00:00","EDT","CAPITL",61757,1732,66,0,6,-375
"07/25/2018 19:00:00","EDT","CENTRL",61754,1590,1539,0,2,-1178
"07/25/2018 19:00:00","EDT","DUNWOD",61760,355,210,335,452,-181
"07/25/2018 19:00:00","EDT","GENESE",61753,1152,269,0,2,-182
"07/25/2018 19:00:00","EDT","HUD VL",61758,1078,185,275,252,-109
"07/25/2018 19:00:00","EDT","LONGIL",61762,2144,1469,0,209,-23
"07/25/2018 19:00:00","EDT","MHK VL",61756,740,205,0,29,-191
"07/25/2018 19:00:00","EDT","MILLWD",61759,240,97,68,27,-63
"07/25/2018 19:00:00","EDT","N.Y.C.",61761,3440,2039,2266,225,-239
"07/25/2018 19:00:00","EDT","NORTH",61755,132,361,0,6,-224
"07/25/2018 19:00:00","EDT","WEST",61752,1356,784,0,320,-53
"07/25/2018 20:00:00","EDT","CAPITL",61757,1743,67,0,0,-174
"07/25/2018 20:00:00","EDT","CENTRL",61754,1557,1530,0,0,-1152
"07/25/2018 20:00:00","EDT","DUNWOD",61760,349,223,336,200,-115
"07/25/2018 20:00:00","EDT","GENESE",61753,1128,261,0,0,-133
"07/25/2018 20:00:00","EDT","HUD VL",61758,1052,185,274,272,-212
"07/25/2018 20:00:00","EDT","LONGIL",61762,2107,1467,0,224,-47
"07/25/2018 20:00:00","EDT","MHK VL",61756,738,210,0,43,-135
"07/25/2018 20:00:00","EDT","MILLWD",61759,237,103,67,44,-4
"07/25/2018 20:00:00","EDT","N.Y.C.",61761,3339,2000,2316,189,-241
"07/25/2018 20:00:00","EDT","NORTH",61755,128,362,0,0,-232
"07/25/2018 20:00:00","EDT","WEST",61752,1377,725,0,289,-25
"07/25/2018 21:00:00","EDT","CAPITL",61757,1664,61,0,16,-252
"07/25/2018 21:00:00","EDT","CENTRL",61754,1511,1512,0,4,-1150
"07/25/2018 21:00:00","EDT","DUNWOD",61760,297,263,333,200,-157
"07/25/2018 21:00:00","EDT","GENESE",61753,1097,256,0,20,-183
"07/25/2018 21:00:00","EDT","HUD VL",61758,1019,176,269,225,-222
"07/25/2018 21:00:00","EDT","LONGIL",61762,1983,1466,0,252,-30
"07/25/2018 21:00:00","EDT","MHK VL",61756,718,204,0,44,-136
"07/25/2018 21:00:00","EDT","MILLWD",61759,227,99,66,0,-66
"07/25/2018 21:00:00","EDT","N.Y.C.",61761,3256,1916,2354,125,-278
"07/25/2018 21:00:00","EDT","NORTH",61755,125,359,0,0,-252
"07/25/2018 21:00:00","EDT","WEST",61752,1390,688,0,209,-15
"07/25/2018 22:00:00","EDT","CAPITL",61757,1485,76,0,18,-125
"07/25/2018 22:00:00","EDT","CENTRL",61754,1369,1486,0,4,-1167
"07/25/2018 22:00:00","EDT","DUNWOD",61760,223,276,317,54,-155
"07/25/2018 22:00:00","EDT","GENESE",61753,1009,242,0,4,-159
"07/25/2018 22:00:00","EDT","HUD VL",61758,933,164,245,230,-302
"07/25/2018 22:00:00","EDT","LONGIL",61762,1706,1456,0,167,-114
"07/25/2018 22:00:00","EDT","MHK VL",61756,665,193,0,33,-146
"07/25/2018 22:00:00","EDT","MILLWD",61759,164,88,61,29,-89
"07/25/2018 22:00:00","EDT","N.Y.C.",61761,3090,1857,2260,157,-282
"07/25/2018 22:00:00","EDT","NORTH",61755,116,351,0,4,-259
"07/25/2018 22:00:00","EDT","WEST",61752,1301,665,0,231,-8
"07/25/2018 23:00:00","EDT","CAPITL",61757,1290,136,0,36,-69
"07/25/2018 23:00:00","EDT","CENTRL",61754,1245,1471,0,12,-1144
"07/25/2018 23:00:00","EDT","DUNWOD",61760,203,257,286,50,-100
"07/25/2018 23:00:00","EDT","GENESE",61753,906,238,0,46,-94
"07/25/2018 23:00:00","EDT","HUD VL",61758,845,153,219,80,-208
"07/25/2018 23:00:00","EDT","LONGIL",61762,1403,1451,0,152,-182
"07/25/2018 23:00:00","EDT","MHK VL",61756,612,180,0,5,-127
