"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"02/26/2019","02/23/2019","Actual","ALB",38,20,32,18
"02/26/2019","02/23/2019","Actual","ART",39,27,34,26
"02/26/2019","02/23/2019","Actual","BGM",35,21,30,20
"02/26/2019","02/23/2019","Actual","BUF",41,24,36,23
"02/26/2019","02/23/2019","Actual","ELM",41,20,35,19
"02/26/2019","02/23/2019","Actual","ELZ",37,22,33,21
"02/26/2019","02/23/2019","Actual","FOK",39,28,35,25
"02/26/2019","02/23/2019","Actual","FRG",39,30,35,27
"02/26/2019","02/23/2019","Actual","GFL",34,10,29,9
"02/26/2019","02/23/2019","Actual","HPN",38,26,32,24
"02/26/2019","02/23/2019","Actual","IAG",40,23,35,22
"02/26/2019","02/23/2019","Actual","ISP",40,30,36,28
"02/26/2019","02/23/2019","Actual","ITH",39,19,33,18
"02/26/2019","02/23/2019","Actual","JFK",39,32,37,29
"02/26/2019","02/23/2019","Actual","LGA",38,32,35,28
"02/26/2019","02/23/2019","Actual","MSS",35,9,30,8
"02/26/2019","02/23/2019","Actual","MSV",35,21,30,20
"02/26/2019","02/23/2019","Actual","NYC",42,33,36,29
"02/26/2019","02/23/2019","Actual","PLB",33,15,29,14
"02/26/2019","02/23/2019","Actual","POU",40,23,33,21
"02/26/2019","02/23/2019","Actual","ROC",40,22,34,21
"02/26/2019","02/23/2019","Actual","SLK",37,9,30,9
"02/26/2019","02/23/2019","Actual","SWF",39,25,34,24
"02/26/2019","02/23/2019","Actual","SYR",36,20,31,19
"02/26/2019","02/23/2019","Actual","UCA",34,20,30,19
"02/26/2019","02/24/2019","Actual","ALB",41,34,39,31
"02/26/2019","02/24/2019","Actual","ART",49,32,45,31
"02/26/2019","02/24/2019","Actual","BGM",41,30,40,29
"02/26/2019","02/24/2019","Actual","BUF",49,29,46,27
"02/26/2019","02/24/2019","Actual","ELM",49,31,44,29
"02/26/2019","02/24/2019","Actual","ELZ",43,25,43,23
"02/26/2019","02/24/2019","Actual","FOK",47,38,46,36
"02/26/2019","02/24/2019","Actual","FRG",47,37,46,35
"02/26/2019","02/24/2019","Actual","GFL",40,27,37,25
"02/26/2019","02/24/2019","Actual","HPN",45,34,43,33
"02/26/2019","02/24/2019","Actual","IAG",47,30,45,27
"02/26/2019","02/24/2019","Actual","ISP",48,37,48,36
"02/26/2019","02/24/2019","Actual","ITH",46,31,44,29
"02/26/2019","02/24/2019","Actual","JFK",47,38,47,38
"02/26/2019","02/24/2019","Actual","LGA",47,35,45,34
"02/26/2019","02/24/2019","Actual","MSS",42,27,42,24
"02/26/2019","02/24/2019","Actual","MSV",39,30,39,30
"02/26/2019","02/24/2019","Actual","NYC",47,36,45,35
"02/26/2019","02/24/2019","Actual","PLB",39,25,37,23
"02/26/2019","02/24/2019","Actual","POU",44,33,41,32
"02/26/2019","02/24/2019","Actual","ROC",53,31,47,29
"02/26/2019","02/24/2019","Actual","SLK",45,26,41,23
"02/26/2019","02/24/2019","Actual","SWF",43,32,41,32
"02/26/2019","02/24/2019","Actual","SYR",51,32,46,30
"02/26/2019","02/24/2019","Actual","UCA",40,30,40,29
"02/26/2019","02/25/2019","Actual","ALB",38,25,33,22
"02/26/2019","02/25/2019","Actual","ART",32,19,30,16
"02/26/2019","02/25/2019","Actual","BGM",28,16,26,14
"02/26/2019","02/25/2019","Actual","BUF",29,18,27,15
"02/26/2019","02/25/2019","Actual","ELM",33,20,29,17
"02/26/2019","02/25/2019","Actual","ELZ",24,15,23,13
"02/26/2019","02/25/2019","Actual","FOK",43,29,36,23
"02/26/2019","02/25/2019","Actual","FRG",44,28,35,22
"02/26/2019","02/25/2019","Actual","GFL",37,23,32,19
"02/26/2019","02/25/2019","Actual","HPN",42,26,35,21
"02/26/2019","02/25/2019","Actual","IAG",28,19,26,16
"02/26/2019","02/25/2019","Actual","ISP",44,28,37,23
"02/26/2019","02/25/2019","Actual","ITH",31,19,28,16
"02/26/2019","02/25/2019","Actual","JFK",44,29,37,23
"02/26/2019","02/25/2019","Actual","LGA",44,29,36,23
"02/26/2019","02/25/2019","Actual","MSS",36,15,32,12
"02/26/2019","02/25/2019","Actual","MSV",32,18,30,15
"02/26/2019","02/25/2019","Actual","NYC",44,29,36,23
"02/26/2019","02/25/2019","Actual","PLB",35,17,32,14
"02/26/2019","02/25/2019","Actual","POU",40,26,34,21
"02/26/2019","02/25/2019","Actual","ROC",31,21,28,17
"02/26/2019","02/25/2019","Actual","SLK",28,10,27,9
"02/26/2019","02/25/2019","Actual","SWF",39,23,35,20
"02/26/2019","02/25/2019","Actual","SYR",32,20,29,18
"02/26/2019","02/25/2019","Actual","UCA",31,20,28,19
"02/26/2019","02/26/2019","Forecast","ALB",24,14,21,11
"02/26/2019","02/26/2019","Forecast","ART",18,7,15,5
"02/26/2019","02/26/2019","Forecast","BGM",17,12,14,10
"02/26/2019","02/26/2019","Forecast","BUF",20,16,17,14
"02/26/2019","02/26/2019","Forecast","ELM",25,17,20,14
"02/26/2019","02/26/2019","Forecast","ELZ",18,11,15,10
"02/26/2019","02/26/2019","Forecast","FOK",34,21,27,17
"02/26/2019","02/26/2019","Forecast","FRG",35,24,28,19
"02/26/2019","02/26/2019","Forecast","GFL",22,8,18,6
"02/26/2019","02/26/2019","Forecast","HPN",32,22,25,18
"02/26/2019","02/26/2019","Forecast","IAG",20,15,17,13
"02/26/2019","02/26/2019","Forecast","ISP",35,23,28,19
"02/26/2019","02/26/2019","Forecast","ITH",20,13,16,11
"02/26/2019","02/26/2019","Forecast","JFK",36,25,28,21
"02/26/2019","02/26/2019","Forecast","LGA",35,25,28,21
"02/26/2019","02/26/2019","Forecast","MSS",15,1,12,0
"02/26/2019","02/26/2019","Forecast","MSV",23,13,19,11
"02/26/2019","02/26/2019","Forecast","NYC",35,25,27,20
"02/26/2019","02/26/2019","Forecast","PLB",16,4,13,2
"02/26/2019","02/26/2019","Forecast","POU",30,20,24,16
"02/26/2019","02/26/2019","Forecast","ROC",21,16,18,14
"02/26/2019","02/26/2019","Forecast","SLK",9,-4,7,-5
"02/26/2019","02/26/2019","Forecast","SWF",29,18,23,15
"02/26/2019","02/26/2019","Forecast","SYR",20,13,18,11
"02/26/2019","02/26/2019","Forecast","UCA",19,9,18,7
"02/26/2019","02/27/2019","Forecast","ALB",20,7,18,5
"02/26/2019","02/27/2019","Forecast","ART",16,2,14,1
"02/26/2019","02/27/2019","Forecast","BGM",22,10,21,8
"02/26/2019","02/27/2019","Forecast","BUF",22,14,21,12
"02/26/2019","02/27/2019","Forecast","ELM",27,14,25,12
"02/26/2019","02/27/2019","Forecast","ELZ",25,11,24,10
"02/26/2019","02/27/2019","Forecast","FOK",26,16,25,13
"02/26/2019","02/27/2019","Forecast","FRG",29,19,27,16
"02/26/2019","02/27/2019","Forecast","GFL",17,1,14,0
"02/26/2019","02/27/2019","Forecast","HPN",26,18,23,14
"02/26/2019","02/27/2019","Forecast","IAG",22,14,20,12
"02/26/2019","02/27/2019","Forecast","ISP",27,18,25,15
"02/26/2019","02/27/2019","Forecast","ITH",23,9,21,8
"02/26/2019","02/27/2019","Forecast","JFK",30,21,28,17
"02/26/2019","02/27/2019","Forecast","LGA",30,23,27,18
"02/26/2019","02/27/2019","Forecast","MSS",12,-6,10,-7
"02/26/2019","02/27/2019","Forecast","MSV",22,8,18,6
"02/26/2019","02/27/2019","Forecast","NYC",30,23,27,18
"02/26/2019","02/27/2019","Forecast","PLB",12,-3,9,-4
"02/26/2019","02/27/2019","Forecast","POU",26,14,22,11
"02/26/2019","02/27/2019","Forecast","ROC",22,14,21,12
"02/26/2019","02/27/2019","Forecast","SLK",12,-10,9,-10
"02/26/2019","02/27/2019","Forecast","SWF",24,15,22,12
"02/26/2019","02/27/2019","Forecast","SYR",19,7,18,5
"02/26/2019","02/27/2019","Forecast","UCA",16,1,15,0
