"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"03/10/2019 00:00:00","EST","CAPITL",61757,867,203,0,167,-51
"03/10/2019 00:00:00","EST","CENTRL",61754,1016,1416,0,12,-1221
"03/10/2019 00:00:00","EST","DUNWOD",61760,139,210,178,3,-37
"03/10/2019 00:00:00","EST","GENESE",61753,662,174,0,2,-159
"03/10/2019 00:00:00","EST","HUD VL",61758,640,123,158,61,-161
"03/10/2019 00:00:00","EST","LONGIL",61762,484,1424,0,99,-1
"03/10/2019 00:00:00","EST","MHK VL",61756,469,173,0,12,-105
"03/10/2019 00:00:00","EST","MILLWD",61759,156,66,33,1,-50
"03/10/2019 00:00:00","EST","N.Y.C.",61761,1940,1637,1115,123,-20
"03/10/2019 00:00:00","EST","NORTH",61755,109,397,0,3,-299
"03/10/2019 00:00:00","EST","WEST",61752,827,567,0,139,-17
"03/10/2019 01:00:00","EST","CAPITL",61757,839,198,0,187,-51
"03/10/2019 01:00:00","EST","CENTRL",61754,991,1409,0,12,-1224
"03/10/2019 01:00:00","EST","DUNWOD",61760,133,202,162,13,-37
"03/10/2019 01:00:00","EST","GENESE",61753,633,174,0,5,-157
"03/10/2019 01:00:00","EST","HUD VL",61758,624,118,150,64,-48
"03/10/2019 01:00:00","EST","LONGIL",61762,400,1423,0,100,-1
"03/10/2019 01:00:00","EST","MHK VL",61756,459,167,0,2,-53
"03/10/2019 01:00:00","EST","MILLWD",61759,164,63,31,13,-48
"03/10/2019 01:00:00","EST","N.Y.C.",61761,1816,1662,968,110,-5
"03/10/2019 01:00:00","EST","NORTH",61755,104,399,0,2,-299
"03/10/2019 01:00:00","EST","WEST",61752,810,564,0,134,-15
"03/10/2019 03:00:00","EDT","CAPITL",61757,832,200,0,187,-111
"03/10/2019 03:00:00","EDT","CENTRL",61754,970,1409,0,2,-1259
"03/10/2019 03:00:00","EDT","DUNWOD",61760,125,187,152,13,-37
"03/10/2019 03:00:00","EDT","GENESE",61753,614,175,0,5,-157
"03/10/2019 03:00:00","EDT","HUD VL",61758,606,117,143,64,-48
"03/10/2019 03:00:00","EDT","LONGIL",61762,311,1423,0,109,-105
"03/10/2019 03:00:00","EDT","MHK VL",61756,443,172,0,2,-157
"03/10/2019 03:00:00","EDT","MILLWD",61759,154,62,29,28,-48
"03/10/2019 03:00:00","EDT","N.Y.C.",61761,1786,1646,853,213,-5
"03/10/2019 03:00:00","EDT","NORTH",61755,102,399,0,2,-403
"03/10/2019 03:00:00","EDT","WEST",61752,777,563,0,123,-97
"03/10/2019 04:00:00","EDT","CAPITL",61757,842,199,0,257,-51
"03/10/2019 04:00:00","EDT","CENTRL",61754,972,1413,0,20,-1222
"03/10/2019 04:00:00","EDT","DUNWOD",61760,125,187,153,11,-37
"03/10/2019 04:00:00","EDT","GENESE",61753,616,177,0,16,-159
"03/10/2019 04:00:00","EDT","HUD VL",61758,610,117,141,63,-48
"03/10/2019 04:00:00","EDT","LONGIL",61762,302,1423,0,93,-149
"03/10/2019 04:00:00","EDT","MHK VL",61756,444,170,0,1,-53
"03/10/2019 04:00:00","EDT","MILLWD",61759,100,61,29,12,-48
"03/10/2019 04:00:00","EDT","N.Y.C.",61761,1779,1631,833,155,-5
"03/10/2019 04:00:00","EDT","NORTH",61755,103,399,0,1,-328
"03/10/2019 04:00:00","EDT","WEST",61752,780,566,0,137,-15
"03/10/2019 05:00:00","EDT","CAPITL",61757,870,198,0,156,-124
"03/10/2019 05:00:00","EDT","CENTRL",61754,996,1422,0,1,-1278
"03/10/2019 05:00:00","EDT","DUNWOD",61760,126,187,157,0,-44
"03/10/2019 05:00:00","EDT","GENESE",61753,632,177,0,1,-147
"03/10/2019 05:00:00","EDT","HUD VL",61758,630,121,141,65,-68
"03/10/2019 05:00:00","EDT","LONGIL",61762,316,1423,0,87,-51
"03/10/2019 05:00:00","EDT","MHK VL",61756,468,176,0,1,-53
"03/10/2019 05:00:00","EDT","MILLWD",61759,85,62,30,14,-52
"03/10/2019 05:00:00","EDT","N.Y.C.",61761,1825,1609,866,143,-7
"03/10/2019 05:00:00","EDT","NORTH",61755,102,403,0,1,-201
"03/10/2019 05:00:00","EDT","WEST",61752,806,580,0,118,-15
"03/10/2019 06:00:00","EDT","CAPITL",61757,921,198,0,65,-68
"03/10/2019 06:00:00","EDT","CENTRL",61754,1067,1429,0,55,-1297
"03/10/2019 06:00:00","EDT","DUNWOD",61760,135,194,164,15,-54
"03/10/2019 06:00:00","EDT","GENESE",61753,679,180,0,1,-185
"03/10/2019 06:00:00","EDT","HUD VL",61758,663,123,147,53,-74
"03/10/2019 06:00:00","EDT","LONGIL",61762,376,1427,0,22,-57
"03/10/2019 06:00:00","EDT","MHK VL",61756,512,176,0,1,-219
"03/10/2019 06:00:00","EDT","MILLWD",61759,120,64,31,16,-129
"03/10/2019 06:00:00","EDT","N.Y.C.",61761,1882,1660,881,100,-20
"03/10/2019 06:00:00","EDT","NORTH",61755,110,406,0,1,-347
