"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"04/02/2018 00:00:00","EDT","CAPITL",61757,806,198,0,101,-178
"04/02/2018 00:00:00","EDT","CENTRL",61754,1026,1452,0,142,-1163
"04/02/2018 00:00:00","EDT","DUNWOD",61760,142,179,167,50,-88
"04/02/2018 00:00:00","EDT","GENESE",61753,611,187,0,1,-15
"04/02/2018 00:00:00","EDT","HUD VL",61758,591,114,143,1,-183
"04/02/2018 00:00:00","EDT","LONGIL",61762,323,1413,0,64,-186
"04/02/2018 00:00:00","EDT","MHK VL",61756,440,167,0,10,-111
"04/02/2018 00:00:00","EDT","MILLWD",61759,123,55,32,1,-24
"04/02/2018 00:00:00","EDT","N.Y.C.",61761,1721,1646,866,48,-223
"04/02/2018 00:00:00","EDT","NORTH",61755,92,392,0,20,-298
"04/02/2018 00:00:00","EDT","WEST",61752,828,594,0,60,-47
"04/02/2018 01:00:00","EDT","CAPITL",61757,756,199,0,66,-169
"04/02/2018 01:00:00","EDT","CENTRL",61754,966,1453,0,146,-1172
"04/02/2018 01:00:00","EDT","DUNWOD",61760,131,175,154,51,-81
"04/02/2018 01:00:00","EDT","GENESE",61753,588,185,0,12,-21
"04/02/2018 01:00:00","EDT","HUD VL",61758,572,112,137,11,-169
"04/02/2018 01:00:00","EDT","LONGIL",61762,256,1412,0,66,-117
"04/02/2018 01:00:00","EDT","MHK VL",61756,413,166,0,15,-116
"04/02/2018 01:00:00","EDT","MILLWD",61759,128,54,30,1,-2
"04/02/2018 01:00:00","EDT","N.Y.C.",61761,1648,1634,751,48,-131
"04/02/2018 01:00:00","EDT","NORTH",61755,87,396,0,34,-244
"04/02/2018 01:00:00","EDT","WEST",61752,798,593,0,108,-38
"04/02/2018 02:00:00","EDT","CAPITL",61757,746,197,0,66,-145
"04/02/2018 02:00:00","EDT","CENTRL",61754,946,1450,0,135,-1157
"04/02/2018 02:00:00","EDT","DUNWOD",61760,129,169,147,26,-67
"04/02/2018 02:00:00","EDT","GENESE",61753,575,185,0,0,-7
"04/02/2018 02:00:00","EDT","HUD VL",61758,559,110,134,13,-110
"04/02/2018 02:00:00","EDT","LONGIL",61762,212,1412,0,66,-104
"04/02/2018 02:00:00","EDT","MHK VL",61756,402,166,0,11,-103
"04/02/2018 02:00:00","EDT","MILLWD",61759,124,53,29,7,-7
"04/02/2018 02:00:00","EDT","N.Y.C.",61761,1618,1618,681,48,-124
"04/02/2018 02:00:00","EDT","NORTH",61755,86,393,0,27,-268
"04/02/2018 02:00:00","EDT","WEST",61752,773,597,0,100,-38
"04/02/2018 03:00:00","EDT","CAPITL",61757,751,200,0,130,-139
"04/02/2018 03:00:00","EDT","CENTRL",61754,951,1457,0,137,-1159
"04/02/2018 03:00:00","EDT","DUNWOD",61760,128,167,145,26,-67
"04/02/2018 03:00:00","EDT","GENESE",61753,578,189,0,0,-8
"04/02/2018 03:00:00","EDT","HUD VL",61758,563,110,133,16,-110
"04/02/2018 03:00:00","EDT","LONGIL",61762,214,1412,0,65,-169
"04/02/2018 03:00:00","EDT","MHK VL",61756,412,171,0,8,-105
"04/02/2018 03:00:00","EDT","MILLWD",61759,131,53,29,1,-7
"04/02/2018 03:00:00","EDT","N.Y.C.",61761,1607,1616,661,49,-124
"04/02/2018 03:00:00","EDT","NORTH",61755,87,397,0,24,-288
"04/02/2018 03:00:00","EDT","WEST",61752,775,606,0,122,-52
"04/02/2018 04:00:00","EDT","CAPITL",61757,772,205,0,162,-155
"04/02/2018 04:00:00","EDT","CENTRL",61754,992,1471,0,139,-1157
"04/02/2018 04:00:00","EDT","DUNWOD",61760,132,168,148,54,-78
"04/02/2018 04:00:00","EDT","GENESE",61753,602,197,0,4,-28
"04/02/2018 04:00:00","EDT","HUD VL",61758,578,113,135,19,-174
"04/02/2018 04:00:00","EDT","LONGIL",61762,257,1414,0,81,-233
"04/02/2018 04:00:00","EDT","MHK VL",61756,427,175,0,10,-101
"04/02/2018 04:00:00","EDT","MILLWD",61759,88,56,29,5,-6
"04/02/2018 04:00:00","EDT","N.Y.C.",61761,1661,1598,673,51,-134
"04/02/2018 04:00:00","EDT","NORTH",61755,89,397,0,34,-286
"04/02/2018 04:00:00","EDT","WEST",61752,805,602,0,60,-36
"04/02/2018 05:00:00","EDT","CAPITL",61757,840,216,0,91,-183
"04/02/2018 05:00:00","EDT","CENTRL",61754,1084,1501,0,133,-1169
"04/02/2018 05:00:00","EDT","DUNWOD",61760,143,180,163,74,-93
"04/02/2018 05:00:00","EDT","GENESE",61753,666,209,0,15,-128
"04/02/2018 05:00:00","EDT","HUD VL",61758,616,118,143,17,-233
"04/02/2018 05:00:00","EDT","LONGIL",61762,393,1416,0,101,-179
"04/02/2018 05:00:00","EDT","MHK VL",61756,451,189,0,21,-108
"04/02/2018 05:00:00","EDT","MILLWD",61759,79,63,32,7,-15
"04/02/2018 05:00:00","EDT","N.Y.C.",61761,1824,1606,757,86,-221
"04/02/2018 05:00:00","EDT","NORTH",61755,103,410,0,14,-317
"04/02/2018 05:00:00","EDT","WEST",61752,861,628,0,116,-48
