year,local_day,local_hour_end,tot_wind_mwh,_FREQ_
2019,7-Jan-19,2,928.869,54
2019,7-Jan-19,3,955.508,53
2019,7-Jan-19,4,899.81,52
2019,7-Jan-19,5,794.246,52
2019,7-Jan-19,6,755.463,50
2019,7-Jan-19,7,798.553,50
2019,7-Jan-19,8,867.768,48
2019,7-Jan-19,9,815.095,51
2019,7-Jan-19,10,715.905,51
2019,7-Jan-19,11,610.472,49
2019,7-Jan-19,12,572.764,46
2019,7-Jan-19,13,508.291,45
2019,7-Jan-19,14,435.341,44
2019,7-Jan-19,15,384.407,42
2019,7-Jan-19,16,355.698,43
2019,7-Jan-19,17,362.005,34
2019,7-Jan-19,18,381.159,32
2019,7-Jan-19,19,409.993,27
2019,7-Jan-19,20,391.092,26
2019,7-Jan-19,21,360.499,32
2019,7-Jan-19,22,382.58,32
2019,7-Jan-19,23,378.456,31
2019,7-Jan-19,24,350.091,31
2019,8-Jan-19,1,313.102,36
2019,8-Jan-19,2,416.43,38
2019,8-Jan-19,3,423.246,39
2019,8-Jan-19,4,436.103,47
2019,8-Jan-19,5,568.804,51
2019,8-Jan-19,6,600.301,50
2019,8-Jan-19,7,650.309,50
2019,8-Jan-19,8,684.499,50
2019,8-Jan-19,9,722.589,48
2019,8-Jan-19,10,725.063,47
2019,8-Jan-19,11,652.815,46
2019,8-Jan-19,12,588.031,46
2019,8-Jan-19,13,477.795,46
2019,8-Jan-19,14,426.795,44
2019,8-Jan-19,15,362.574,44
2019,8-Jan-19,16,272.898,43
2019,8-Jan-19,17,252.553,42
2019,8-Jan-19,18,245.744,40
2019,8-Jan-19,19,227.914,39
2019,8-Jan-19,20,202.305,44
2019,8-Jan-19,21,239.051,42
2019,8-Jan-19,22,252.297,46
2019,8-Jan-19,23,254.846,42
2019,8-Jan-19,24,279.951,39
2019,9-Jan-19,1,271.18,41
2019,9-Jan-19,2,250.855,41
2019,9-Jan-19,3,256.082,41
2019,9-Jan-19,4,251.659,39
2019,9-Jan-19,5,269.934,38
2019,9-Jan-19,6,306.144,39
2019,9-Jan-19,7,300.156,44
2019,9-Jan-19,8,289.962,51
2019,9-Jan-19,9,290.193,52
2019,9-Jan-19,10,266.668,51
2019,9-Jan-19,11,258.291,52
2019,9-Jan-19,12,227.069,54
2019,9-Jan-19,13,250.488,54
2019,9-Jan-19,14,250.975,53
2019,9-Jan-19,15,248.095,53
2019,9-Jan-19,16,271.582,52
2019,9-Jan-19,17,285.66,52
2019,9-Jan-19,18,301.492,50
2019,9-Jan-19,19,334.624,49
2019,9-Jan-19,20,357.95,49
2019,9-Jan-19,21,352.506,49
2019,9-Jan-19,22,342.158,48
2019,9-Jan-19,23,332.982,48
2019,9-Jan-19,24,325.494,48
2019,10-Jan-19,1,319.049,48
2019,10-Jan-19,2,299.691,48
2019,10-Jan-19,3,276.624,48
2019,10-Jan-19,4,253.791,48
2019,10-Jan-19,5,246.171,46
2019,10-Jan-19,6,240.388,46
2019,10-Jan-19,7,252.361,45
2019,10-Jan-19,8,280.857,48
2019,10-Jan-19,9,333.058,51
2019,10-Jan-19,10,367.736,52
2019,10-Jan-19,11,365.794,52
2019,10-Jan-19,12,366.849,53
2019,10-Jan-19,13,366.866,53
2019,10-Jan-19,14,402.151,51
2019,10-Jan-19,15,430.082,54
2019,10-Jan-19,16,421.579,54
2019,10-Jan-19,17,450.055,53
2019,10-Jan-19,18,457.098,50
2019,10-Jan-19,19,451.141,53
2019,10-Jan-19,20,485.885,51
2019,10-Jan-19,21,490.691,52
2019,10-Jan-19,22,498.383,52
2019,10-Jan-19,23,522.217,52
2019,10-Jan-19,24,531.383,50
2019,11-Jan-19,1,516.252,49
2019,11-Jan-19,2,494.076,50
2019,11-Jan-19,3,485.212,50
2019,11-Jan-19,4,520.742,53
2019,11-Jan-19,5,522.633,53
2019,11-Jan-19,6,517.436,52
2019,11-Jan-19,7,516.08,53
2019,11-Jan-19,8,523.663,54
2019,11-Jan-19,9,518.259,53
2019,11-Jan-19,10,520.686,50
2019,11-Jan-19,11,509.254,50
2019,11-Jan-19,12,508.448,51
2019,11-Jan-19,13,505.306,52
2019,11-Jan-19,14,524.006,51
2019,11-Jan-19,15,538.969,51
2019,11-Jan-19,16,551.514,52
2019,11-Jan-19,17,539.649,52
2019,11-Jan-19,18,563.226,49
2019,11-Jan-19,19,587.152,50
2019,11-Jan-19,20,577.612,49
2019,11-Jan-19,21,547.036,48
2019,11-Jan-19,22,553.685,49
2019,11-Jan-19,23,543.831,50
2019,11-Jan-19,24,550.106,48
2019,12-Jan-19,1,515.833,50
2019,12-Jan-19,2,522.209,49
2019,12-Jan-19,3,490.414,49
2019,12-Jan-19,4,496.91,49
2019,12-Jan-19,5,530.931,49
2019,12-Jan-19,6,533.682,49
2019,12-Jan-19,7,516.847,48
2019,12-Jan-19,8,544.204,48
2019,12-Jan-19,9,514.326,50
2019,12-Jan-19,10,504.734,54
2019,12-Jan-19,11,504.152,54
2019,12-Jan-19,12,491.812,54
2019,12-Jan-19,13,496.303,53
2019,12-Jan-19,14,510.089,54
2019,12-Jan-19,15,518.18,54
2019,12-Jan-19,16,520.684,53
2019,12-Jan-19,17,533.563,51
2019,12-Jan-19,18,543.858,48
2019,12-Jan-19,19,541.3,48
2019,12-Jan-19,20,461.178,50
2019,12-Jan-19,21,433.568,50
2019,12-Jan-19,22,403.933,49
2019,12-Jan-19,23,341.8,47
2019,12-Jan-19,24,290.744,48
