"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"02/08/2018","02/05/2018","Actual","ALB",34,14,32,12
"02/08/2018","02/05/2018","Actual","ART",34,8,33,7
"02/08/2018","02/05/2018","Actual","BGM",29,11,28,9
"02/08/2018","02/05/2018","Actual","BUF",21,12,20,10
"02/08/2018","02/05/2018","Actual","ELM",33,14,32,12
"02/08/2018","02/05/2018","Actual","ELZ",33,10,32,9
"02/08/2018","02/05/2018","Actual","FOK",49,15,48,14
"02/08/2018","02/05/2018","Actual","FRG",48,24,48,20
"02/08/2018","02/05/2018","Actual","GFL",32,5,31,4
"02/08/2018","02/05/2018","Actual","HPN",39,22,39,18
"02/08/2018","02/05/2018","Actual","IAG",21,10,19,8
"02/08/2018","02/05/2018","Actual","ISP",47,24,47,20
"02/08/2018","02/05/2018","Actual","ITH",31,8,31,7
"02/08/2018","02/05/2018","Actual","JFK",42,26,42,22
"02/08/2018","02/05/2018","Actual","LGA",41,28,40,23
"02/08/2018","02/05/2018","Actual","MSS",33,8,33,6
"02/08/2018","02/05/2018","Actual","MSV",32,6,32,5
"02/08/2018","02/05/2018","Actual","NYC",40,26,39,21
"02/08/2018","02/05/2018","Actual","PLB",29,15,28,13
"02/08/2018","02/05/2018","Actual","POU",33,19,32,16
"02/08/2018","02/05/2018","Actual","ROC",28,13,27,12
"02/08/2018","02/05/2018","Actual","SLK",28,7,28,6
"02/08/2018","02/05/2018","Actual","SWF",34,19,34,17
"02/08/2018","02/05/2018","Actual","SYR",32,11,32,10
"02/08/2018","02/05/2018","Actual","UCA",31,8,31,7
"02/08/2018","02/06/2018","Actual","ALB",30,14,26,12
"02/08/2018","02/06/2018","Actual","ART",24,8,22,8
"02/08/2018","02/06/2018","Actual","BGM",25,13,21,11
"02/08/2018","02/06/2018","Actual","BUF",22,15,20,14
"02/08/2018","02/06/2018","Actual","ELM",29,18,25,16
"02/08/2018","02/06/2018","Actual","ELZ",21,15,19,14
"02/08/2018","02/06/2018","Actual","FOK",37,13,32,12
"02/08/2018","02/06/2018","Actual","FRG",37,23,32,19
"02/08/2018","02/06/2018","Actual","GFL",28,8,24,7
"02/08/2018","02/06/2018","Actual","HPN",34,21,28,18
"02/08/2018","02/06/2018","Actual","IAG",25,14,21,13
"02/08/2018","02/06/2018","Actual","ISP",37,21,32,19
"02/08/2018","02/06/2018","Actual","ITH",28,11,24,10
"02/08/2018","02/06/2018","Actual","JFK",36,25,31,21
"02/08/2018","02/06/2018","Actual","LGA",38,28,32,23
"02/08/2018","02/06/2018","Actual","MSS",25,3,23,3
"02/08/2018","02/06/2018","Actual","MSV",32,5,28,4
"02/08/2018","02/06/2018","Actual","NYC",37,26,31,21
"02/08/2018","02/06/2018","Actual","PLB",27,16,23,14
"02/08/2018","02/06/2018","Actual","POU",33,16,28,15
"02/08/2018","02/06/2018","Actual","ROC",26,14,22,13
"02/08/2018","02/06/2018","Actual","SLK",20,-1,18,-1
"02/08/2018","02/06/2018","Actual","SWF",32,16,28,15
"02/08/2018","02/06/2018","Actual","SYR",25,11,22,10
"02/08/2018","02/06/2018","Actual","UCA",26,9,23,8
"02/08/2018","02/07/2018","Actual","ALB",26,14,23,13
"02/08/2018","02/07/2018","Actual","ART",24,11,23,11
"02/08/2018","02/07/2018","Actual","BGM",26,17,26,15
"02/08/2018","02/07/2018","Actual","BUF",26,12,24,11
"02/08/2018","02/07/2018","Actual","ELM",29,20,28,18
"02/08/2018","02/07/2018","Actual","ELZ",26,16,25,15
"02/08/2018","02/07/2018","Actual","FOK",52,21,50,20
"02/08/2018","02/07/2018","Actual","FRG",47,26,46,24
"02/08/2018","02/07/2018","Actual","GFL",21,1,21,1
"02/08/2018","02/07/2018","Actual","HPN",39,25,39,22
"02/08/2018","02/07/2018","Actual","IAG",26,14,24,13
"02/08/2018","02/07/2018","Actual","ISP",48,26,48,24
"02/08/2018","02/07/2018","Actual","ITH",27,11,26,10
"02/08/2018","02/07/2018","Actual","JFK",45,28,45,25
"02/08/2018","02/07/2018","Actual","LGA",46,30,44,26
"02/08/2018","02/07/2018","Actual","MSS",16,0,15,0
"02/08/2018","02/07/2018","Actual","MSV",31,14,31,13
"02/08/2018","02/07/2018","Actual","NYC",44,30,43,26
"02/08/2018","02/07/2018","Actual","PLB",20,10,19,9
"02/08/2018","02/07/2018","Actual","POU",32,15,31,14
"02/08/2018","02/07/2018","Actual","ROC",27,14,25,13
"02/08/2018","02/07/2018","Actual","SLK",19,-8,18,-8
"02/08/2018","02/07/2018","Actual","SWF",34,21,34,20
"02/08/2018","02/07/2018","Actual","SYR",24,11,23,10
"02/08/2018","02/07/2018","Actual","UCA",22,6,21,6
"02/08/2018","02/08/2018","Forecast","ALB",25,16,23,14
"02/08/2018","02/08/2018","Forecast","ART",22,-11,20,-11
"02/08/2018","02/08/2018","Forecast","BGM",20,13,17,12
"02/08/2018","02/08/2018","Forecast","BUF",20,9,18,8
"02/08/2018","02/08/2018","Forecast","ELM",25,13,21,12
"02/08/2018","02/08/2018","Forecast","ELZ",21,11,18,10
"02/08/2018","02/08/2018","Forecast","FOK",36,25,34,22
"02/08/2018","02/08/2018","Forecast","FRG",35,27,32,23
"02/08/2018","02/08/2018","Forecast","GFL",24,12,20,11
"02/08/2018","02/08/2018","Forecast","HPN",31,23,28,20
"02/08/2018","02/08/2018","Forecast","IAG",22,10,19,9
"02/08/2018","02/08/2018","Forecast","ISP",35,27,34,23
"02/08/2018","02/08/2018","Forecast","ITH",23,13,20,12
"02/08/2018","02/08/2018","Forecast","JFK",33,27,30,24
"02/08/2018","02/08/2018","Forecast","LGA",34,28,30,24
"02/08/2018","02/08/2018","Forecast","MSS",19,2,16,2
"02/08/2018","02/08/2018","Forecast","MSV",22,13,21,12
"02/08/2018","02/08/2018","Forecast","NYC",33,27,29,23
"02/08/2018","02/08/2018","Forecast","PLB",19,6,16,5
"02/08/2018","02/08/2018","Forecast","POU",29,18,27,16
"02/08/2018","02/08/2018","Forecast","ROC",23,16,20,15
"02/08/2018","02/08/2018","Forecast","SLK",17,6,14,5
"02/08/2018","02/08/2018","Forecast","SWF",28,19,26,17
"02/08/2018","02/08/2018","Forecast","SYR",23,13,21,13
"02/08/2018","02/08/2018","Forecast","UCA",20,8,18,7
"02/08/2018","02/09/2018","Forecast","ALB",29,12,27,10
"02/08/2018","02/09/2018","Forecast","ART",26,13,24,12
"02/08/2018","02/09/2018","Forecast","BGM",29,8,27,7
"02/08/2018","02/09/2018","Forecast","BUF",30,15,29,14
"02/08/2018","02/09/2018","Forecast","ELM",31,9,28,8
"02/08/2018","02/09/2018","Forecast","ELZ",32,11,29,10
"02/08/2018","02/09/2018","Forecast","FOK",35,21,33,19
"02/08/2018","02/09/2018","Forecast","FRG",36,22,34,20
"02/08/2018","02/09/2018","Forecast","GFL",24,7,21,6
"02/08/2018","02/09/2018","Forecast","HPN",33,19,31,17
"02/08/2018","02/09/2018","Forecast","IAG",29,16,27,14
"02/08/2018","02/09/2018","Forecast","ISP",36,23,34,21
"02/08/2018","02/09/2018","Forecast","ITH",29,9,27,8
"02/08/2018","02/09/2018","Forecast","JFK",37,23,35,20
"02/08/2018","02/09/2018","Forecast","LGA",37,25,34,21
"02/08/2018","02/09/2018","Forecast","MSS",22,8,20,7
"02/08/2018","02/09/2018","Forecast","MSV",26,7,25,6
"02/08/2018","02/09/2018","Forecast","NYC",38,24,34,20
"02/08/2018","02/09/2018","Forecast","PLB",24,9,21,8
"02/08/2018","02/09/2018","Forecast","POU",30,12,28,11
"02/08/2018","02/09/2018","Forecast","ROC",30,17,28,15
"02/08/2018","02/09/2018","Forecast","SLK",20,4,18,4
"02/08/2018","02/09/2018","Forecast","SWF",31,13,28,12
"02/08/2018","02/09/2018","Forecast","SYR",29,12,27,11
"02/08/2018","02/09/2018","Forecast","UCA",26,7,25,7
