"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/22/2019","01/19/2019","Actual","ALB",31,8,28,7
"01/22/2019","01/19/2019","Actual","ART",13,-4,12,-5
"01/22/2019","01/19/2019","Actual","BGM",25,22,23,21
"01/22/2019","01/19/2019","Actual","BUF",22,13,21,12
"01/22/2019","01/19/2019","Actual","ELM",31,20,27,19
"01/22/2019","01/19/2019","Actual","ELZ",21,15,21,15
"01/22/2019","01/19/2019","Actual","FOK",38,19,35,18
"01/22/2019","01/19/2019","Actual","FRG",38,31,35,28
"01/22/2019","01/19/2019","Actual","GFL",27,4,24,3
"01/22/2019","01/19/2019","Actual","HPN",34,25,32,23
"01/22/2019","01/19/2019","Actual","IAG",23,12,21,11
"01/22/2019","01/19/2019","Actual","ISP",38,29,35,27
"01/22/2019","01/19/2019","Actual","ITH",27,17,25,16
"01/22/2019","01/19/2019","Actual","JFK",39,30,37,27
"01/22/2019","01/19/2019","Actual","LGA",37,33,33,29
"01/22/2019","01/19/2019","Actual","MSS",10,-6,8,-7
"01/22/2019","01/19/2019","Actual","MSV",29,19,26,18
"01/22/2019","01/19/2019","Actual","NYC",37,32,33,28
"01/22/2019","01/19/2019","Actual","PLB",15,-8,14,-9
"01/22/2019","01/19/2019","Actual","POU",35,21,29,19
"01/22/2019","01/19/2019","Actual","ROC",26,16,24,15
"01/22/2019","01/19/2019","Actual","SLK",14,-3,13,-4
"01/22/2019","01/19/2019","Actual","SWF",32,19,29,19
"01/22/2019","01/19/2019","Actual","SYR",26,13,25,11
"01/22/2019","01/19/2019","Actual","UCA",26,14,24,13
"01/22/2019","01/20/2019","Actual","ALB",21,0,20,-1
"01/22/2019","01/20/2019","Actual","ART",3,-6,2,-7
"01/22/2019","01/20/2019","Actual","BGM",27,-2,27,-3
"01/22/2019","01/20/2019","Actual","BUF",13,-2,12,-3
"01/22/2019","01/20/2019","Actual","ELM",21,2,20,0
"01/22/2019","01/20/2019","Actual","ELZ",14,-3,14,-4
"01/22/2019","01/20/2019","Actual","FOK",52,15,51,13
"01/22/2019","01/20/2019","Actual","FRG",50,14,50,11
"01/22/2019","01/20/2019","Actual","GFL",14,1,13,-1
"01/22/2019","01/20/2019","Actual","HPN",36,12,36,10
"01/22/2019","01/20/2019","Actual","IAG",12,-1,11,-2
"01/22/2019","01/20/2019","Actual","ISP",51,15,51,12
"01/22/2019","01/20/2019","Actual","ITH",21,0,21,-1
"01/22/2019","01/20/2019","Actual","JFK",50,15,50,12
"01/22/2019","01/20/2019","Actual","LGA",39,16,39,14
"01/22/2019","01/20/2019","Actual","MSS",4,-5,3,-6
"01/22/2019","01/20/2019","Actual","MSV",32,3,32,2
"01/22/2019","01/20/2019","Actual","NYC",42,15,41,12
"01/22/2019","01/20/2019","Actual","PLB",3,-6,2,-7
"01/22/2019","01/20/2019","Actual","POU",31,10,29,8
"01/22/2019","01/20/2019","Actual","ROC",20,1,19,0
"01/22/2019","01/20/2019","Actual","SLK",8,-10,7,-11
"01/22/2019","01/20/2019","Actual","SWF",32,7,30,6
"01/22/2019","01/20/2019","Actual","SYR",19,-3,18,-4
"01/22/2019","01/20/2019","Actual","UCA",19,-5,18,-6
"01/22/2019","01/21/2019","Actual","ALB",5,-7,3,-8
"01/22/2019","01/21/2019","Actual","ART",3,-10,1,-11
"01/22/2019","01/21/2019","Actual","BGM",5,-8,4,-9
"01/22/2019","01/21/2019","Actual","BUF",7,-4,5,-5
"01/22/2019","01/21/2019","Actual","ELM",8,-4,5,-5
"01/22/2019","01/21/2019","Actual","ELZ",2,-9,1,-9
"01/22/2019","01/21/2019","Actual","FOK",15,7,12,6
"01/22/2019","01/21/2019","Actual","FRG",15,5,11,3
"01/22/2019","01/21/2019","Actual","GFL",3,-8,1,-9
"01/22/2019","01/21/2019","Actual","HPN",12,2,9,0
"01/22/2019","01/21/2019","Actual","IAG",8,-3,6,-4
"01/22/2019","01/21/2019","Actual","ISP",14,6,11,4
"01/22/2019","01/21/2019","Actual","ITH",8,-5,7,-6
"01/22/2019","01/21/2019","Actual","JFK",15,5,12,3
"01/22/2019","01/21/2019","Actual","LGA",16,6,13,4
"01/22/2019","01/21/2019","Actual","MSS",-1,-9,-3,-10
"01/22/2019","01/21/2019","Actual","MSV",4,-6,3,-7
"01/22/2019","01/21/2019","Actual","NYC",14,4,11,2
"01/22/2019","01/21/2019","Actual","PLB",1,-11,-1,-12
"01/22/2019","01/21/2019","Actual","POU",15,3,12,1
"01/22/2019","01/21/2019","Actual","ROC",10,-2,9,-3
"01/22/2019","01/21/2019","Actual","SLK",-9,-16,-10,-16
"01/22/2019","01/21/2019","Actual","SWF",10,0,8,-1
"01/22/2019","01/21/2019","Actual","SYR",7,-6,6,-7
"01/22/2019","01/21/2019","Actual","UCA",2,-10,1,-11
"01/22/2019","01/22/2019","Forecast","ALB",20,2,16,0
"01/22/2019","01/22/2019","Forecast","ART",20,-25,17,-25
"01/22/2019","01/22/2019","Forecast","BGM",18,2,15,1
"01/22/2019","01/22/2019","Forecast","BUF",27,4,23,3
"01/22/2019","01/22/2019","Forecast","ELM",24,-4,19,-5
"01/22/2019","01/22/2019","Forecast","ELZ",23,-2,18,-2
"01/22/2019","01/22/2019","Forecast","FOK",28,12,22,9
"01/22/2019","01/22/2019","Forecast","FRG",27,12,21,9
"01/22/2019","01/22/2019","Forecast","GFL",16,-6,13,-7
"01/22/2019","01/22/2019","Forecast","HPN",25,11,20,9
"01/22/2019","01/22/2019","Forecast","IAG",26,2,23,1
"01/22/2019","01/22/2019","Forecast","ISP",27,13,21,10
"01/22/2019","01/22/2019","Forecast","ITH",21,5,17,4
"01/22/2019","01/22/2019","Forecast","JFK",28,14,23,11
"01/22/2019","01/22/2019","Forecast","LGA",28,14,22,11
"01/22/2019","01/22/2019","Forecast","MSS",11,-12,9,-12
"01/22/2019","01/22/2019","Forecast","MSV",22,2,18,1
"01/22/2019","01/22/2019","Forecast","NYC",28,13,22,10
"01/22/2019","01/22/2019","Forecast","PLB",13,-9,11,-10
"01/22/2019","01/22/2019","Forecast","POU",25,1,20,0
"01/22/2019","01/22/2019","Forecast","ROC",26,5,22,5
"01/22/2019","01/22/2019","Forecast","SLK",11,-21,9,-21
"01/22/2019","01/22/2019","Forecast","SWF",25,7,20,6
"01/22/2019","01/22/2019","Forecast","SYR",18,-2,16,-3
"01/22/2019","01/22/2019","Forecast","UCA",15,-13,13,-13
"01/22/2019","01/23/2019","Forecast","ALB",43,17,41,14
"01/22/2019","01/23/2019","Forecast","ART",40,20,39,17
"01/22/2019","01/23/2019","Forecast","BGM",40,18,39,15
"01/22/2019","01/23/2019","Forecast","BUF",43,29,41,25
"01/22/2019","01/23/2019","Forecast","ELM",43,21,41,18
"01/22/2019","01/23/2019","Forecast","ELZ",40,19,39,16
"01/22/2019","01/23/2019","Forecast","FOK",45,22,45,19
"01/22/2019","01/23/2019","Forecast","FRG",47,25,46,21
"01/22/2019","01/23/2019","Forecast","GFL",39,13,38,11
"01/22/2019","01/23/2019","Forecast","HPN",45,22,43,18
"01/22/2019","01/23/2019","Forecast","IAG",42,28,41,25
"01/22/2019","01/23/2019","Forecast","ISP",47,25,46,21
"01/22/2019","01/23/2019","Forecast","ITH",40,20,39,17
"01/22/2019","01/23/2019","Forecast","JFK",47,28,46,23
"01/22/2019","01/23/2019","Forecast","LGA",48,28,46,23
"01/22/2019","01/23/2019","Forecast","MSS",40,13,39,11
"01/22/2019","01/23/2019","Forecast","MSV",40,14,39,12
"01/22/2019","01/23/2019","Forecast","NYC",48,27,45,22
"01/22/2019","01/23/2019","Forecast","PLB",38,14,37,12
"01/22/2019","01/23/2019","Forecast","POU",44,19,43,16
"01/22/2019","01/23/2019","Forecast","ROC",43,27,41,23
"01/22/2019","01/23/2019","Forecast","SLK",38,12,37,10
"01/22/2019","01/23/2019","Forecast","SWF",44,18,43,15
"01/22/2019","01/23/2019","Forecast","SYR",41,20,40,17
"01/22/2019","01/23/2019","Forecast","UCA",40,15,39,13
