"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"05/05/2018 00:00:00","EDT","CAPITL",61757,887,61,0,137,-13
"05/05/2018 00:00:00","EDT","CENTRL",61754,785,916,0,13,-746
"05/05/2018 00:00:00","EDT","DUNWOD",61760,264,85,218,166,-60
"05/05/2018 00:00:00","EDT","GENESE",61753,562,181,0,10,-89
"05/05/2018 00:00:00","EDT","HUD VL",61758,696,93,169,64,-61
"05/05/2018 00:00:00","EDT","LONGIL",61762,592,1213,0,221,-4
"05/05/2018 00:00:00","EDT","MHK VL",61756,315,148,0,5,-47
"05/05/2018 00:00:00","EDT","MILLWD",61759,156,16,43,67,-1
"05/05/2018 00:00:00","EDT","N.Y.C.",61761,2145,1679,1373,149,-4
"05/05/2018 00:00:00","EDT","NORTH",61755,68,349,0,0,-286
"05/05/2018 00:00:00","EDT","WEST",61752,719,578,0,184,-39
"05/05/2018 01:00:00","EDT","CAPITL",61757,847,61,0,115,-13
"05/05/2018 01:00:00","EDT","CENTRL",61754,756,909,0,11,-726
"05/05/2018 01:00:00","EDT","DUNWOD",61760,248,90,197,153,-60
"05/05/2018 01:00:00","EDT","GENESE",61753,530,176,0,16,-65
"05/05/2018 01:00:00","EDT","HUD VL",61758,630,108,156,57,-48
"05/05/2018 01:00:00","EDT","LONGIL",61762,485,1213,0,270,-4
"05/05/2018 01:00:00","EDT","MHK VL",61756,301,143,0,11,-26
"05/05/2018 01:00:00","EDT","MILLWD",61759,164,18,39,57,-8
"05/05/2018 01:00:00","EDT","N.Y.C.",61761,2048,1653,1201,138,-4
"05/05/2018 01:00:00","EDT","NORTH",61755,67,350,0,0,-293
"05/05/2018 01:00:00","EDT","WEST",61752,701,580,0,211,-25
"05/05/2018 02:00:00","EDT","CAPITL",61757,804,56,0,133,-22
"05/05/2018 02:00:00","EDT","CENTRL",61754,714,906,0,16,-730
"05/05/2018 02:00:00","EDT","DUNWOD",61760,236,86,183,166,-64
"05/05/2018 02:00:00","EDT","GENESE",61753,508,173,0,21,-82
"05/05/2018 02:00:00","EDT","HUD VL",61758,597,106,146,63,-31
"05/05/2018 02:00:00","EDT","LONGIL",61762,422,1210,0,244,-4
"05/05/2018 02:00:00","EDT","MHK VL",61756,269,141,0,22,-39
"05/05/2018 02:00:00","EDT","MILLWD",61759,132,30,37,67,-11
"05/05/2018 02:00:00","EDT","N.Y.C.",61761,1979,1594,1096,146,-4
"05/05/2018 02:00:00","EDT","NORTH",61755,67,349,0,0,-272
"05/05/2018 02:00:00","EDT","WEST",61752,670,572,0,208,-17
"05/05/2018 03:00:00","EDT","CAPITL",61757,789,54,0,178,-25
"05/05/2018 03:00:00","EDT","CENTRL",61754,703,903,0,10,-748
"05/05/2018 03:00:00","EDT","DUNWOD",61760,228,83,173,155,-64
"05/05/2018 03:00:00","EDT","GENESE",61753,500,174,0,21,-85
"05/05/2018 03:00:00","EDT","HUD VL",61758,578,105,138,60,-39
"05/05/2018 03:00:00","EDT","LONGIL",61762,380,1209,0,255,-55
"05/05/2018 03:00:00","EDT","MHK VL",61756,259,139,0,10,-32
