"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"05/29/2018","05/26/2018","Actual","ALB",88,61,70,56
"05/29/2018","05/26/2018","Actual","ART",77,63,68,55
"05/29/2018","05/26/2018","Actual","BGM",80,61,65,54
"05/29/2018","05/26/2018","Actual","BUF",76,61,65,55
"05/29/2018","05/26/2018","Actual","ELM",84,50,68,49
"05/29/2018","05/26/2018","Actual","ELZ",78,63,65,54
"05/29/2018","05/26/2018","Actual","FOK",78,61,69,59
"05/29/2018","05/26/2018","Actual","FRG",83,65,73,62
"05/29/2018","05/26/2018","Actual","GFL",81,60,69,56
"05/29/2018","05/26/2018","Actual","HPN",88,68,72,65
"05/29/2018","05/26/2018","Actual","IAG",81,62,68,54
"05/29/2018","05/26/2018","Actual","ISP",83,65,73,63
"05/29/2018","05/26/2018","Actual","ITH",82,53,69,52
"05/29/2018","05/26/2018","Actual","JFK",81,68,72,65
"05/29/2018","05/26/2018","Actual","LGA",91,75,73,66
"05/29/2018","05/26/2018","Actual","MSS",71,60,68,59
"05/29/2018","05/26/2018","Actual","MSV",82,52,66,52
"05/29/2018","05/26/2018","Actual","NYC",89,73,74,67
"05/29/2018","05/26/2018","Actual","PLB",70,59,66,56
"05/29/2018","05/26/2018","Actual","POU",88,62,69,61
"05/29/2018","05/26/2018","Actual","ROC",84,62,69,57
"05/29/2018","05/26/2018","Actual","SLK",71,57,64,56
"05/29/2018","05/26/2018","Actual","SWF",86,66,71,65
"05/29/2018","05/26/2018","Actual","SYR",83,58,69,57
"05/29/2018","05/26/2018","Actual","UCA",80,55,68,54
"05/29/2018","05/27/2018","Actual","ALB",68,55,63,51
"05/29/2018","05/27/2018","Actual","ART",79,59,68,59
"05/29/2018","05/27/2018","Actual","BGM",72,58,62,57
"05/29/2018","05/27/2018","Actual","BUF",82,66,71,62
"05/29/2018","05/27/2018","Actual","ELM",73,65,70,64
"05/29/2018","05/27/2018","Actual","ELZ",76,61,70,61
"05/29/2018","05/27/2018","Actual","FOK",65,54,62,52
"05/29/2018","05/27/2018","Actual","FRG",69,55,66,53
"05/29/2018","05/27/2018","Actual","GFL",65,56,62,51
"05/29/2018","05/27/2018","Actual","HPN",73,54,70,52
"05/29/2018","05/27/2018","Actual","IAG",83,67,71,61
"05/29/2018","05/27/2018","Actual","ISP",67,54,65,53
"05/29/2018","05/27/2018","Actual","ITH",69,64,65,62
"05/29/2018","05/27/2018","Actual","JFK",71,55,67,54
"05/29/2018","05/27/2018","Actual","LGA",82,57,71,54
"05/29/2018","05/27/2018","Actual","MSS",77,57,69,51
"05/29/2018","05/27/2018","Actual","MSV",66,51,62,51
"05/29/2018","05/27/2018","Actual","NYC",80,57,71,54
"05/29/2018","05/27/2018","Actual","PLB",67,55,59,50
"05/29/2018","05/27/2018","Actual","POU",70,55,65,51
"05/29/2018","05/27/2018","Actual","ROC",80,66,71,62
"05/29/2018","05/27/2018","Actual","SLK",68,51,62,51
