"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"03/22/2018","03/19/2018","Actual","ALB",34,16,26,13
"03/22/2018","03/19/2018","Actual","ART",29,2,23,1
"03/22/2018","03/19/2018","Actual","BGM",29,18,22,15
"03/22/2018","03/19/2018","Actual","BUF",32,22,27,19
"03/22/2018","03/19/2018","Actual","ELM",35,22,28,19
"03/22/2018","03/19/2018","Actual","ELZ",35,21,29,18
"03/22/2018","03/19/2018","Actual","FOK",41,17,30,15
"03/22/2018","03/19/2018","Actual","FRG",44,26,33,23
"03/22/2018","03/19/2018","Actual","GFL",33,9,25,8
"03/22/2018","03/19/2018","Actual","HPN",43,26,32,23
"03/22/2018","03/19/2018","Actual","IAG",34,25,29,20
"03/22/2018","03/19/2018","Actual","ISP",43,25,32,22
"03/22/2018","03/19/2018","Actual","ITH",27,14,22,12
"03/22/2018","03/19/2018","Actual","JFK",46,31,34,28
"03/22/2018","03/19/2018","Actual","LGA",47,34,34,28
"03/22/2018","03/19/2018","Actual","MSS",24,4,19,3
"03/22/2018","03/19/2018","Actual","MSV",33,21,25,18
"03/22/2018","03/19/2018","Actual","NYC",46,34,33,27
"03/22/2018","03/19/2018","Actual","PLB",27,9,21,6
"03/22/2018","03/19/2018","Actual","POU",42,24,30,21
"03/22/2018","03/19/2018","Actual","ROC",30,22,28,18
"03/22/2018","03/19/2018","Actual","SLK",24,-18,19,-18
"03/22/2018","03/19/2018","Actual","SWF",43,27,32,23
"03/22/2018","03/19/2018","Actual","SYR",29,16,23,12
"03/22/2018","03/19/2018","Actual","UCA",30,11,23,9
"03/22/2018","03/20/2018","Actual","ALB",37,16,29,14
"03/22/2018","03/20/2018","Actual","ART",34,3,28,2
"03/22/2018","03/20/2018","Actual","BGM",34,11,26,9
"03/22/2018","03/20/2018","Actual","BUF",35,19,29,16
"03/22/2018","03/20/2018","Actual","ELM",38,15,30,14
"03/22/2018","03/20/2018","Actual","ELZ",35,17,27,14
"03/22/2018","03/20/2018","Actual","FOK",36,20,32,17
"03/22/2018","03/20/2018","Actual","FRG",36,28,31,23
"03/22/2018","03/20/2018","Actual","GFL",37,9,29,9
"03/22/2018","03/20/2018","Actual","HPN",38,26,29,21
"03/22/2018","03/20/2018","Actual","IAG",37,21,31,18
"03/22/2018","03/20/2018","Actual","ISP",37,26,31,22
"03/22/2018","03/20/2018","Actual","ITH",35,5,28,4
"03/22/2018","03/20/2018","Actual","JFK",37,30,32,24
"03/22/2018","03/20/2018","Actual","LGA",39,31,34,25
"03/22/2018","03/20/2018","Actual","MSS",31,2,25,1
"03/22/2018","03/20/2018","Actual","MSV",34,14,27,12
"03/22/2018","03/20/2018","Actual","NYC",39,30,33,24
"03/22/2018","03/20/2018","Actual","PLB",27,12,23,10
"03/22/2018","03/20/2018","Actual","POU",37,21,29,18
"03/22/2018","03/20/2018","Actual","ROC",32,18,28,15
"03/22/2018","03/20/2018","Actual","SLK",34,-15,26,-15
"03/22/2018","03/20/2018","Actual","SWF",36,21,29,19
"03/22/2018","03/20/2018","Actual","SYR",37,8,29,7
"03/22/2018","03/20/2018","Actual","UCA",38,6,30,5
"03/22/2018","03/21/2018","Actual","ALB",36,25,29,21
"03/22/2018","03/21/2018","Actual","ART",34,12,28,11
"03/22/2018","03/21/2018","Actual","BGM",34,22,28,18
"03/22/2018","03/21/2018","Actual","BUF",35,26,30,23
"03/22/2018","03/21/2018","Actual","ELM",37,27,32,23
"03/22/2018","03/21/2018","Actual","ELZ",34,22,28,19
"03/22/2018","03/21/2018","Actual","FOK",37,32,32,30
"03/22/2018","03/21/2018","Actual","FRG",37,32,32,30
"03/22/2018","03/21/2018","Actual","GFL",36,18,30,16
"03/22/2018","03/21/2018","Actual","HPN",37,30,31,28
"03/22/2018","03/21/2018","Actual","IAG",38,28,32,24
"03/22/2018","03/21/2018","Actual","ISP",38,32,33,30
"03/22/2018","03/21/2018","Actual","ITH",34,19,29,18
"03/22/2018","03/21/2018","Actual","JFK",38,32,32,30
"03/22/2018","03/21/2018","Actual","LGA",40,32,34,30
"03/22/2018","03/21/2018","Actual","MSS",33,6,28,5
"03/22/2018","03/21/2018","Actual","MSV",37,27,29,23
"03/22/2018","03/21/2018","Actual","NYC",39,31,33,29
"03/22/2018","03/21/2018","Actual","PLB",31,15,26,13
"03/22/2018","03/21/2018","Actual","POU",37,28,30,23
"03/22/2018","03/21/2018","Actual","ROC",34,27,29,24
"03/22/2018","03/21/2018","Actual","SLK",35,-3,29,-3
"03/22/2018","03/21/2018","Actual","SWF",37,28,30,25
"03/22/2018","03/21/2018","Actual","SYR",37,17,31,16
"03/22/2018","03/21/2018","Actual","UCA",41,15,33,14
"03/22/2018","03/22/2018","Forecast","ALB",43,29,36,26
"03/22/2018","03/22/2018","Forecast","ART",37,18,33,17
"03/22/2018","03/22/2018","Forecast","BGM",33,23,29,21
"03/22/2018","03/22/2018","Forecast","BUF",35,27,30,25
"03/22/2018","03/22/2018","Forecast","ELM",40,28,33,25
"03/22/2018","03/22/2018","Forecast","ELZ",33,23,28,21
"03/22/2018","03/22/2018","Forecast","FOK",44,32,38,31
"03/22/2018","03/22/2018","Forecast","FRG",43,31,38,30
"03/22/2018","03/22/2018","Forecast","GFL",42,26,35,23
"03/22/2018","03/22/2018","Forecast","HPN",44,31,38,29
"03/22/2018","03/22/2018","Forecast","IAG",38,28,32,25
"03/22/2018","03/22/2018","Forecast","ISP",44,32,38,32
"03/22/2018","03/22/2018","Forecast","ITH",34,24,30,22
"03/22/2018","03/22/2018","Forecast","JFK",44,31,38,31
"03/22/2018","03/22/2018","Forecast","LGA",45,33,39,31
"03/22/2018","03/22/2018","Forecast","MSS",38,17,33,16
"03/22/2018","03/22/2018","Forecast","MSV",39,27,33,24
"03/22/2018","03/22/2018","Forecast","NYC",44,32,38,31
"03/22/2018","03/22/2018","Forecast","PLB",36,26,32,23
"03/22/2018","03/22/2018","Forecast","POU",47,29,39,27
