"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"03/23/2019","03/20/2019","Actual","ALB",55,28,40,25
"03/23/2019","03/20/2019","Actual","ART",48,28,39,26
"03/23/2019","03/20/2019","Actual","BGM",48,26,36,23
"03/23/2019","03/20/2019","Actual","BUF",49,28,39,26
"03/23/2019","03/20/2019","Actual","ELM",54,19,40,18
"03/23/2019","03/20/2019","Actual","ELZ",48,23,37,22
"03/23/2019","03/20/2019","Actual","FOK",48,17,40,16
"03/23/2019","03/20/2019","Actual","FRG",48,28,38,27
"03/23/2019","03/20/2019","Actual","GFL",50,20,39,19
"03/23/2019","03/20/2019","Actual","HPN",50,27,39,26
"03/23/2019","03/20/2019","Actual","IAG",49,27,39,25
"03/23/2019","03/20/2019","Actual","ISP",49,26,39,26
"03/23/2019","03/20/2019","Actual","ITH",52,21,39,20
"03/23/2019","03/20/2019","Actual","JFK",50,32,40,31
"03/23/2019","03/20/2019","Actual","LGA",51,38,39,34
"03/23/2019","03/20/2019","Actual","MSS",46,18,38,17
"03/23/2019","03/20/2019","Actual","MSV",49,25,37,23
"03/23/2019","03/20/2019","Actual","NYC",52,38,40,34
"03/23/2019","03/20/2019","Actual","PLB",50,20,39,18
"03/23/2019","03/20/2019","Actual","POU",54,21,40,20
"03/23/2019","03/20/2019","Actual","ROC",52,30,40,26
"03/23/2019","03/20/2019","Actual","SLK",43,4,34,3
"03/23/2019","03/20/2019","Actual","SWF",52,25,39,24
"03/23/2019","03/20/2019","Actual","SYR",52,23,39,22
"03/23/2019","03/20/2019","Actual","UCA",51,21,39,20
"03/23/2019","03/21/2019","Actual","ALB",47,39,41,34
"03/23/2019","03/21/2019","Actual","ART",51,32,44,30
"03/23/2019","03/21/2019","Actual","BGM",41,33,39,30
"03/23/2019","03/21/2019","Actual","BUF",50,38,44,36
"03/23/2019","03/21/2019","Actual","ELM",48,37,43,32
"03/23/2019","03/21/2019","Actual","ELZ",45,35,41,30
"03/23/2019","03/21/2019","Actual","FOK",46,38,43,36
"03/23/2019","03/21/2019","Actual","FRG",48,40,44,37
"03/23/2019","03/21/2019","Actual","GFL",45,31,40,29
"03/23/2019","03/21/2019","Actual","HPN",45,37,42,35
"03/23/2019","03/21/2019","Actual","IAG",50,36,42,34
"03/23/2019","03/21/2019","Actual","ISP",48,35,44,34
"03/23/2019","03/21/2019","Actual","ITH",47,37,42,33
"03/23/2019","03/21/2019","Actual","JFK",48,40,46,39
"03/23/2019","03/21/2019","Actual","LGA",44,41,42,38
"03/23/2019","03/21/2019","Actual","MSS",46,28,41,27
"03/23/2019","03/21/2019","Actual","MSV",38,32,38,29
"03/23/2019","03/21/2019","Actual","NYC",46,41,44,39
"03/23/2019","03/21/2019","Actual","PLB",48,33,42,30
"03/23/2019","03/21/2019","Actual","POU",45,38,43,35
"03/23/2019","03/21/2019","Actual","ROC",53,39,45,35
"03/23/2019","03/21/2019","Actual","SLK",43,21,37,20
"03/23/2019","03/21/2019","Actual","SWF",45,39,44,37
"03/23/2019","03/21/2019","Actual","SYR",49,37,43,34
"03/23/2019","03/21/2019","Actual","UCA",46,36,41,32
"03/23/2019","03/22/2019","Actual","ALB",42,34,38,31
"03/23/2019","03/22/2019","Actual","ART",39,26,39,26
"03/23/2019","03/22/2019","Actual","BGM",37,25,35,24
"03/23/2019","03/22/2019","Actual","BUF",38,26,36,25
"03/23/2019","03/22/2019","Actual","ELM",43,29,39,27
"03/23/2019","03/22/2019","Actual","ELZ",36,22,36,21
"03/23/2019","03/22/2019","Actual","FOK",48,40,46,36
"03/23/2019","03/22/2019","Actual","FRG",48,40,46,36
"03/23/2019","03/22/2019","Actual","GFL",38,33,36,31
"03/23/2019","03/22/2019","Actual","HPN",46,39,43,35
"03/23/2019","03/22/2019","Actual","IAG",40,26,37,25
"03/23/2019","03/22/2019","Actual","ISP",48,40,47,36
"03/23/2019","03/22/2019","Actual","ITH",38,26,37,25
"03/23/2019","03/22/2019","Actual","JFK",50,41,48,37
"03/23/2019","03/22/2019","Actual","LGA",48,40,44,36
"03/23/2019","03/22/2019","Actual","MSS",39,29,39,28
"03/23/2019","03/22/2019","Actual","MSV",39,29,37,28
"03/23/2019","03/22/2019","Actual","NYC",49,40,45,36
"03/23/2019","03/22/2019","Actual","PLB",37,32,36,31
"03/23/2019","03/22/2019","Actual","POU",45,37,40,35
"03/23/2019","03/22/2019","Actual","ROC",42,27,39,25
"03/23/2019","03/22/2019","Actual","SLK",35,26,35,25
"03/23/2019","03/22/2019","Actual","SWF",45,37,41,34
"03/23/2019","03/22/2019","Actual","SYR",38,28,38,28
"03/23/2019","03/22/2019","Actual","UCA",37,28,36,27
"03/23/2019","03/23/2019","Forecast","ALB",36,28,30,25
"03/23/2019","03/23/2019","Forecast","ART",34,20,29,17
"03/23/2019","03/23/2019","Forecast","BGM",33,20,27,18
"03/23/2019","03/23/2019","Forecast","BUF",36,21,30,18
"03/23/2019","03/23/2019","Forecast","ELM",41,24,32,21
"03/23/2019","03/23/2019","Forecast","ELZ",34,18,27,16
"03/23/2019","03/23/2019","Forecast","FOK",46,31,37,28
"03/23/2019","03/23/2019","Forecast","FRG",45,33,36,29
"03/23/2019","03/23/2019","Forecast","GFL",38,27,31,23
"03/23/2019","03/23/2019","Forecast","HPN",43,31,34,26
"03/23/2019","03/23/2019","Forecast","IAG",38,22,31,19
"03/23/2019","03/23/2019","Forecast","ISP",46,33,37,29
"03/23/2019","03/23/2019","Forecast","ITH",35,21,28,19
"03/23/2019","03/23/2019","Forecast","JFK",46,34,37,29
"03/23/2019","03/23/2019","Forecast","LGA",46,34,36,29
"03/23/2019","03/23/2019","Forecast","MSS",33,19,28,18
"03/23/2019","03/23/2019","Forecast","MSV",36,24,29,22
"03/23/2019","03/23/2019","Forecast","NYC",47,34,37,29
"03/23/2019","03/23/2019","Forecast","PLB",33,25,30,23
"03/23/2019","03/23/2019","Forecast","POU",44,32,35,27
"03/23/2019","03/23/2019","Forecast","ROC",38,23,30,20
"03/23/2019","03/23/2019","Forecast","SLK",28,15,24,14
"03/23/2019","03/23/2019","Forecast","SWF",42,30,34,27
"03/23/2019","03/23/2019","Forecast","SYR",32,22,27,20
"03/23/2019","03/23/2019","Forecast","UCA",29,21,26,19
"03/23/2019","03/24/2019","Forecast","ALB",51,29,42,25
"03/23/2019","03/24/2019","Forecast","ART",41,28,37,25
"03/23/2019","03/24/2019","Forecast","BGM",47,24,38,21
"03/23/2019","03/24/2019","Forecast","BUF",44,30,38,27
"03/23/2019","03/24/2019","Forecast","ELM",52,27,41,24
"03/23/2019","03/24/2019","Forecast","ELZ",46,27,37,23
"03/23/2019","03/24/2019","Forecast","FOK",49,30,41,27
"03/23/2019","03/24/2019","Forecast","FRG",52,33,42,28
"03/23/2019","03/24/2019","Forecast","GFL",48,23,40,21
"03/23/2019","03/24/2019","Forecast","HPN",53,32,42,27
"03/23/2019","03/24/2019","Forecast","IAG",45,29,39,27
"03/23/2019","03/24/2019","Forecast","ISP",51,32,42,28
"03/23/2019","03/24/2019","Forecast","ITH",49,26,39,23
"03/23/2019","03/24/2019","Forecast","JFK",53,35,43,30
"03/23/2019","03/24/2019","Forecast","LGA",55,35,43,30
"03/23/2019","03/24/2019","Forecast","MSS",40,25,35,23
"03/23/2019","03/24/2019","Forecast","MSV",50,24,40,21
"03/23/2019","03/24/2019","Forecast","NYC",56,35,44,29
"03/23/2019","03/24/2019","Forecast","PLB",42,26,37,23
"03/23/2019","03/24/2019","Forecast","POU",55,28,43,25
"03/23/2019","03/24/2019","Forecast","ROC",49,32,40,28
"03/23/2019","03/24/2019","Forecast","SLK",39,17,35,16
"03/23/2019","03/24/2019","Forecast","SWF",55,29,43,25
"03/23/2019","03/24/2019","Forecast","SYR",48,27,41,25
"03/23/2019","03/24/2019","Forecast","UCA",45,23,39,22
