"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"03/03/2019","02/28/2019","Actual","ALB",28,11,23,10
"03/03/2019","02/28/2019","Actual","ART",19,-11,15,-11
"03/03/2019","02/28/2019","Actual","BGM",22,12,21,11
"03/03/2019","02/28/2019","Actual","BUF",23,14,20,13
"03/03/2019","02/28/2019","Actual","ELM",26,14,24,12
"03/03/2019","02/28/2019","Actual","ELZ",22,10,18,10
"03/03/2019","02/28/2019","Actual","FOK",34,19,28,17
"03/03/2019","02/28/2019","Actual","FRG",34,25,28,22
"03/03/2019","02/28/2019","Actual","GFL",22,2,18,1
"03/03/2019","02/28/2019","Actual","HPN",33,24,26,20
"03/03/2019","02/28/2019","Actual","IAG",21,13,18,12
"03/03/2019","02/28/2019","Actual","ISP",35,26,28,23
"03/03/2019","02/28/2019","Actual","ITH",23,11,22,10
"03/03/2019","02/28/2019","Actual","JFK",36,27,30,24
"03/03/2019","02/28/2019","Actual","LGA",35,27,28,24
"03/03/2019","02/28/2019","Actual","MSS",19,-8,15,-8
"03/03/2019","02/28/2019","Actual","MSV",30,16,24,15
"03/03/2019","02/28/2019","Actual","NYC",36,28,29,24
"03/03/2019","02/28/2019","Actual","PLB",18,3,14,1
"03/03/2019","02/28/2019","Actual","POU",32,17,26,15
"03/03/2019","02/28/2019","Actual","ROC",21,12,18,11
"03/03/2019","02/28/2019","Actual","SLK",21,-9,16,-9
"03/03/2019","02/28/2019","Actual","SWF",32,18,26,18
"03/03/2019","02/28/2019","Actual","SYR",21,9,18,8
"03/03/2019","02/28/2019","Actual","UCA",22,6,19,5
"03/03/2019","03/01/2019","Actual","ALB",37,14,30,12
"03/03/2019","03/01/2019","Actual","ART",31,0,27,0
"03/03/2019","03/01/2019","Actual","BGM",32,16,28,14
"03/03/2019","03/01/2019","Actual","BUF",36,11,29,10
"03/03/2019","03/01/2019","Actual","ELM",36,17,31,16
"03/03/2019","03/01/2019","Actual","ELZ",31,17,28,16
"03/03/2019","03/01/2019","Actual","FOK",35,22,32,20
"03/03/2019","03/01/2019","Actual","FRG",35,26,32,23
"03/03/2019","03/01/2019","Actual","GFL",33,1,28,0
"03/03/2019","03/01/2019","Actual","HPN",32,23,30,20
"03/03/2019","03/01/2019","Actual","IAG",33,7,27,6
"03/03/2019","03/01/2019","Actual","ISP",35,26,32,24
"03/03/2019","03/01/2019","Actual","ITH",34,15,30,14
"03/03/2019","03/01/2019","Actual","JFK",36,27,33,24
"03/03/2019","03/01/2019","Actual","LGA",34,26,32,23
"03/03/2019","03/01/2019","Actual","MSS",32,-4,25,-5
"03/03/2019","03/01/2019","Actual","MSV",35,17,29,16
"03/03/2019","03/01/2019","Actual","NYC",34,26,32,24
"03/03/2019","03/01/2019","Actual","PLB",30,4,24,3
"03/03/2019","03/01/2019","Actual","POU",36,20,31,19
"03/03/2019","03/01/2019","Actual","ROC",38,10,31,9
"03/03/2019","03/01/2019","Actual","SLK",32,-8,26,-8
"03/03/2019","03/01/2019","Actual","SWF",36,19,32,19
"03/03/2019","03/01/2019","Actual","SYR",38,10,31,9
"03/03/2019","03/01/2019","Actual","UCA",35,7,30,6
"03/03/2019","03/02/2019","Actual","ALB",37,26,31,23
"03/03/2019","03/02/2019","Actual","ART",33,14,29,14
"03/03/2019","03/02/2019","Actual","BGM",33,27,31,26
"03/03/2019","03/02/2019","Actual","BUF",32,21,30,21
"03/03/2019","03/02/2019","Actual","ELM",38,31,34,29
"03/03/2019","03/02/2019","Actual","ELZ",31,24,29,23
"03/03/2019","03/02/2019","Actual","FOK",39,30,35,28
"03/03/2019","03/02/2019","Actual","FRG",40,31,36,30
"03/03/2019","03/02/2019","Actual","GFL",36,17,30,16
"03/03/2019","03/02/2019","Actual","HPN",37,29,34,28
"03/03/2019","03/02/2019","Actual","IAG",31,23,30,22
"03/03/2019","03/02/2019","Actual","ISP",39,31,36,30
"03/03/2019","03/02/2019","Actual","ITH",35,28,31,27
"03/03/2019","03/02/2019","Actual","JFK",38,31,36,31
"03/03/2019","03/02/2019","Actual","LGA",40,30,36,29
"03/03/2019","03/02/2019","Actual","MSS",29,11,25,10
"03/03/2019","03/02/2019","Actual","MSV",34,26,32,25
"03/03/2019","03/02/2019","Actual","NYC",41,31,36,30
"03/03/2019","03/02/2019","Actual","PLB",31,16,26,14
"03/03/2019","03/02/2019","Actual","POU",39,30,34,29
"03/03/2019","03/02/2019","Actual","ROC",36,24,32,23
"03/03/2019","03/02/2019","Actual","SLK",37,7,30,6
"03/03/2019","03/02/2019","Actual","SWF",39,30,35,29
"03/03/2019","03/02/2019","Actual","SYR",35,26,31,23
"03/03/2019","03/02/2019","Actual","UCA",35,21,31,20
"03/03/2019","03/03/2019","Forecast","ALB",37,28,32,25
"03/03/2019","03/03/2019","Forecast","ART",29,16,26,16
"03/03/2019","03/03/2019","Forecast","BGM",30,24,27,23
"03/03/2019","03/03/2019","Forecast","BUF",27,19,25,18
"03/03/2019","03/03/2019","Forecast","ELM",34,27,30,24
"03/03/2019","03/03/2019","Forecast","ELZ",28,19,25,18
"03/03/2019","03/03/2019","Forecast","FOK",39,28,34,27
"03/03/2019","03/03/2019","Forecast","FRG",40,33,35,30
"03/03/2019","03/03/2019","Forecast","GFL",35,18,30,17
"03/03/2019","03/03/2019","Forecast","HPN",39,31,34,28
"03/03/2019","03/03/2019","Forecast","IAG",27,16,24,15
"03/03/2019","03/03/2019","Forecast","ISP",41,31,35,30
"03/03/2019","03/03/2019","Forecast","ITH",31,25,28,24
"03/03/2019","03/03/2019","Forecast","JFK",40,34,36,32
"03/03/2019","03/03/2019","Forecast","LGA",40,35,35,32
"03/03/2019","03/03/2019","Forecast","MSS",30,20,27,19
"03/03/2019","03/03/2019","Forecast","MSV",36,25,31,23
"03/03/2019","03/03/2019","Forecast","NYC",41,36,35,32
"03/03/2019","03/03/2019","Forecast","PLB",33,22,29,21
"03/03/2019","03/03/2019","Forecast","POU",40,27,34,25
"03/03/2019","03/03/2019","Forecast","ROC",30,26,28,24
"03/03/2019","03/03/2019","Forecast","SLK",28,18,25,18
"03/03/2019","03/03/2019","Forecast","SWF",40,30,34,28
"03/03/2019","03/03/2019","Forecast","SYR",30,21,28,20
"03/03/2019","03/03/2019","Forecast","UCA",30,21,28,20
"03/03/2019","03/04/2019","Forecast","ALB",33,18,29,15
"03/03/2019","03/04/2019","Forecast","ART",23,13,22,11
"03/03/2019","03/04/2019","Forecast","BGM",25,12,24,10
"03/03/2019","03/04/2019","Forecast","BUF",22,13,21,11
"03/03/2019","03/04/2019","Forecast","ELM",28,13,26,11
"03/03/2019","03/04/2019","Forecast","ELZ",21,8,20,7
"03/03/2019","03/04/2019","Forecast","FOK",41,24,36,21
"03/03/2019","03/04/2019","Forecast","FRG",39,25,34,22
"03/03/2019","03/04/2019","Forecast","GFL",32,14,27,12
"03/03/2019","03/04/2019","Forecast","HPN",37,23,33,20
"03/03/2019","03/04/2019","Forecast","IAG",22,13,21,11
"03/03/2019","03/04/2019","Forecast","ISP",40,26,35,23
"03/03/2019","03/04/2019","Forecast","ITH",25,12,24,10
"03/03/2019","03/04/2019","Forecast","JFK",39,27,34,24
"03/03/2019","03/04/2019","Forecast","LGA",38,27,34,23
"03/03/2019","03/04/2019","Forecast","MSS",22,11,21,10
"03/03/2019","03/04/2019","Forecast","MSV",29,14,27,12
"03/03/2019","03/04/2019","Forecast","NYC",38,27,34,23
"03/03/2019","03/04/2019","Forecast","PLB",26,14,24,12
"03/03/2019","03/04/2019","Forecast","POU",38,20,32,17
"03/03/2019","03/04/2019","Forecast","ROC",25,15,24,13
"03/03/2019","03/04/2019","Forecast","SLK",20,7,20,6
"03/03/2019","03/04/2019","Forecast","SWF",36,19,31,16
