"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"07/07/2018","07/04/2018","Actual","ALB",94,72,75,68
"07/07/2018","07/04/2018","Actual","ART",91,58,76,58
"07/07/2018","07/04/2018","Actual","BGM",85,65,74,63
"07/07/2018","07/04/2018","Actual","BUF",91,70,77,63
"07/07/2018","07/04/2018","Actual","ELM",87,63,79,63
"07/07/2018","07/04/2018","Actual","ELZ",84,68,76,64
"07/07/2018","07/04/2018","Actual","FOK",86,73,76,71
"07/07/2018","07/04/2018","Actual","FRG",85,76,77,73
"07/07/2018","07/04/2018","Actual","GFL",92,66,76,66
"07/07/2018","07/04/2018","Actual","HPN",87,72,77,71
"07/07/2018","07/04/2018","Actual","IAG",96,68,77,62
"07/07/2018","07/04/2018","Actual","ISP",85,75,77,73
"07/07/2018","07/04/2018","Actual","ITH",89,61,76,60
"07/07/2018","07/04/2018","Actual","JFK",86,75,78,75
"07/07/2018","07/04/2018","Actual","LGA",89,78,77,72
"07/07/2018","07/04/2018","Actual","MSS",93,61,77,61
"07/07/2018","07/04/2018","Actual","MSV",87,68,76,67
"07/07/2018","07/04/2018","Actual","NYC",86,77,78,73
"07/07/2018","07/04/2018","Actual","PLB",93,62,74,59
"07/07/2018","07/04/2018","Actual","POU",91,72,76,71
"07/07/2018","07/04/2018","Actual","ROC",93,61,76,60
"07/07/2018","07/04/2018","Actual","SLK",90,51,71,51
"07/07/2018","07/04/2018","Actual","SWF",90,73,80,73
"07/07/2018","07/04/2018","Actual","SYR",92,62,79,62
"07/07/2018","07/04/2018","Actual","UCA",93,61,77,61
"07/07/2018","07/05/2018","Actual","ALB",91,75,79,70
"07/07/2018","07/05/2018","Actual","ART",88,74,78,71
"07/07/2018","07/05/2018","Actual","BGM",83,68,74,67
"07/07/2018","07/05/2018","Actual","BUF",89,75,77,72
"07/07/2018","07/05/2018","Actual","ELM",88,68,78,68
"07/07/2018","07/05/2018","Actual","ELZ",83,70,76,69
"07/07/2018","07/05/2018","Actual","FOK",85,73,76,72
"07/07/2018","07/05/2018","Actual","FRG",86,75,77,74
"07/07/2018","07/05/2018","Actual","GFL",88,71,77,70
"07/07/2018","07/05/2018","Actual","HPN",87,72,76,71
"07/07/2018","07/05/2018","Actual","IAG",94,74,77,70
"07/07/2018","07/05/2018","Actual","ISP",86,74,77,74
"07/07/2018","07/05/2018","Actual","ITH",87,71,78,69
"07/07/2018","07/05/2018","Actual","JFK",85,75,79,75
"07/07/2018","07/05/2018","Actual","LGA",90,78,76,73
"07/07/2018","07/05/2018","Actual","MSS",93,68,80,68
"07/07/2018","07/05/2018","Actual","MSV",87,67,76,67
"07/07/2018","07/05/2018","Actual","NYC",89,77,77,73
"07/07/2018","07/05/2018","Actual","PLB",96,72,79,68
"07/07/2018","07/05/2018","Actual","POU",90,71,76,70
"07/07/2018","07/05/2018","Actual","ROC",93,76,79,72
"07/07/2018","07/05/2018","Actual","SLK",88,59,74,59
"07/07/2018","07/05/2018","Actual","SWF",91,70,78,70
"07/07/2018","07/05/2018","Actual","SYR",89,72,80,71
"07/07/2018","07/05/2018","Actual","UCA",89,70,79,69
"07/07/2018","07/06/2018","Actual","ALB",85,63,74,53
"07/07/2018","07/06/2018","Actual","ART",79,53,74,51
"07/07/2018","07/06/2018","Actual","BGM",74,58,70,52
"07/07/2018","07/06/2018","Actual","BUF",76,64,74,56
"07/07/2018","07/06/2018","Actual","ELM",78,56,73,54
"07/07/2018","07/06/2018","Actual","ELZ",73,58,71,53
"07/07/2018","07/06/2018","Actual","FOK",81,73,74,61
"07/07/2018","07/06/2018","Actual","FRG",80,73,76,61
"07/07/2018","07/06/2018","Actual","GFL",84,60,76,53
"07/07/2018","07/06/2018","Actual","HPN",79,68,76,59
"07/07/2018","07/06/2018","Actual","IAG",77,67,72,56
"07/07/2018","07/06/2018","Actual","ISP",80,72,77,61
"07/07/2018","07/06/2018","Actual","ITH",78,57,72,52
"07/07/2018","07/06/2018","Actual","JFK",82,73,78,61
"07/07/2018","07/06/2018","Actual","LGA",83,75,76,61
"07/07/2018","07/06/2018","Actual","MSS",82,53,76,51
"07/07/2018","07/06/2018","Actual","MSV",79,58,71,53
"07/07/2018","07/06/2018","Actual","NYC",80,73,76,60
"07/07/2018","07/06/2018","Actual","PLB",82,58,75,51
"07/07/2018","07/06/2018","Actual","POU",85,68,75,56
"07/07/2018","07/06/2018","Actual","ROC",80,64,76,56
"07/07/2018","07/06/2018","Actual","SLK",77,44,73,44
"07/07/2018","07/06/2018","Actual","SWF",84,68,77,59
"07/07/2018","07/06/2018","Actual","SYR",77,59,75,55
"07/07/2018","07/06/2018","Actual","UCA",77,57,73,52
