Forecast Date,Vintage Date,Vintage,Station ID,Max Temp,Min Temp,Max Wet Bulb,Min Wet Bulb,                                                                                                              
05/19/2019,05/18/2019,Actual,PLB,62,47,52,43                                                                                                                                                            
05/19/2019,05/18/2019,Actual,POU,76,44,58,43                                                                                                                                                            
05/19/2019,05/18/2019,Actual,ROC,65,42,52,40                                                                                                                                                            
05/19/2019,05/18/2019,Actual,SLK,61,41,48,38                                                                                                                                                            
05/19/2019,05/18/2019,Actual,SWF,75,45,58,44                                                                                                                                                            
05/19/2019,05/18/2019,Actual,SYR,66,40,51,39                                                                                                                                                            
05/19/2019,05/18/2019,Actual,UCA,66,39,51,39                                                                                                                                                            
05/19/2019,05/19/2019,Forecast,ALB,80,53,70,49                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,ART,74,51,68,48                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,BGM,78,54,68,46                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,BUF,77,59,69,53                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,ELM,81,50,70,48                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,ELZ,77,59,68,57                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,FOK,65,52,59,49                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,FRG,67,56,62,51                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,GFL,77,50,69,47                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,HPN,71,54,65,49                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,IAG,76,52,68,49                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,ISP,68,56,62,51                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,ITH,80,55,70,48                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,JFK,68,56,62,54                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,LGA,72,60,65,53                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,MSS,66,52,61,48                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,MSV,77,50,69,47                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,NYC,74,60,66,52                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,PLB,68,51,63,49                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,POU,78,55,69,51                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,ROC,81,54,71,49                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,SLK,71,48,65,44                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,SWF,78,57,69,52                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,SYR,82,55,71,48                                                                                                                                                          
05/19/2019,05/19/2019,Forecast,UCA,78,53,70,48                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,ALB,81,60,69,53                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,ART,65,47,63,45                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,BGM,72,52,65,47                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,BUF,65,49,61,45                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,ELM,75,53,65,47                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,ELZ,66,46,62,43                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,FOK,67,59,62,57                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,FRG,72,62,65,59                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,GFL,76,57,68,51                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,HPN,78,64,67,62                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,IAG,63,47,60,44                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,ISP,71,62,64,59                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,ITH,71,49,64,46                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,JFK,73,63,65,60                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,LGA,79,66,68,63                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,MSS,71,53,63,48                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,MSV,76,58,66,52                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,NYC,82,68,69,63                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,PLB,73,55,65,50                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,POU,82,66,70,60                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,ROC,70,50,65,45                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,SLK,67,48,62,45                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,SWF,80,66,69,59                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,SYR,71,51,66,47                                                                                                                                                          
05/19/2019,05/20/2019,Forecast,UCA,70,51,66,47                                                                                                                                                          
