"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"08/11/2018 00:00:00","EDT","CAPITL",61757,1012,211,0,43,-2
"08/11/2018 00:00:00","EDT","CENTRL",61754,1017,1435,0,129,-1200
"08/11/2018 00:00:00","EDT","DUNWOD",61760,191,234,296,89,-62
"08/11/2018 00:00:00","EDT","GENESE",61753,720,202,0,106,-88
"08/11/2018 00:00:00","EDT","HUD VL",61758,734,129,229,34,-25
"08/11/2018 00:00:00","EDT","LONGIL",61762,1514,1446,0,150,-140
"08/11/2018 00:00:00","EDT","MHK VL",61756,428,162,0,25,-113
"08/11/2018 00:00:00","EDT","MILLWD",61759,152,71,56,33,-6
"08/11/2018 00:00:00","EDT","N.Y.C.",61761,2552,1778,2289,209,-76
"08/11/2018 00:00:00","EDT","NORTH",61755,83,344,0,3,-229
"08/11/2018 00:00:00","EDT","WEST",61752,951,602,0,203,-42
"08/11/2018 01:00:00","EDT","CAPITL",61757,947,208,0,35,0
"08/11/2018 01:00:00","EDT","CENTRL",61754,966,1423,0,55,-1196
"08/11/2018 01:00:00","EDT","DUNWOD",61760,179,224,273,110,-34
"08/11/2018 01:00:00","EDT","GENESE",61753,675,196,0,50,-70
"08/11/2018 01:00:00","EDT","HUD VL",61758,688,124,208,106,-25
"08/11/2018 01:00:00","EDT","LONGIL",61762,1304,1445,0,149,-56
"08/11/2018 01:00:00","EDT","MHK VL",61756,402,160,0,28,-97
"08/11/2018 01:00:00","EDT","MILLWD",61759,152,68,51,43,-1
"08/11/2018 01:00:00","EDT","N.Y.C.",61761,2404,1759,2101,216,0
"08/11/2018 01:00:00","EDT","NORTH",61755,80,341,0,22,-199
"08/11/2018 01:00:00","EDT","WEST",61752,888,596,0,143,-36
"08/11/2018 02:00:00","EDT","CAPITL",61757,895,204,0,44,-5
"08/11/2018 02:00:00","EDT","CENTRL",61754,946,1415,0,55,-1214
"08/11/2018 02:00:00","EDT","DUNWOD",61760,171,213,257,124,-36
"08/11/2018 02:00:00","EDT","GENESE",61753,634,190,0,22,-94
"08/11/2018 02:00:00","EDT","HUD VL",61758,655,119,196,82,-31
"08/11/2018 02:00:00","EDT","LONGIL",61762,1176,1442,0,153,-17
"08/11/2018 02:00:00","EDT","MHK VL",61756,370,157,0,29,-119
"08/11/2018 02:00:00","EDT","MILLWD",61759,134,65,48,42,-7
"08/11/2018 02:00:00","EDT","N.Y.C.",61761,2308,1740,1982,249,-5
"08/11/2018 02:00:00","EDT","NORTH",61755,77,338,0,24,-207
"08/11/2018 02:00:00","EDT","WEST",61752,837,588,0,146,-41
"08/11/2018 03:00:00","EDT","CAPITL",61757,872,199,0,62,-4
"08/11/2018 03:00:00","EDT","CENTRL",61754,898,1411,0,66,-1196
"08/11/2018 03:00:00","EDT","DUNWOD",61760,170,204,242,118,-43
"08/11/2018 03:00:00","EDT","GENESE",61753,612,188,0,58,-85
"08/11/2018 03:00:00","EDT","HUD VL",61758,633,118,188,32,-23
"08/11/2018 03:00:00","EDT","LONGIL",61762,1085,1443,0,153,-44
"08/11/2018 03:00:00","EDT","MHK VL",61756,360,157,0,25,-110
"08/11/2018 03:00:00","EDT","MILLWD",61759,135,61,46,44,-13
"08/11/2018 03:00:00","EDT","N.Y.C.",61761,2248,1743,1853,270,-13
"08/11/2018 03:00:00","EDT","NORTH",61755,74,338,0,23,-202
"08/11/2018 03:00:00","EDT","WEST",61752,809,584,0,154,-33
"08/11/2018 04:00:00","EDT","CAPITL",61757,853,199,0,135,-5
"08/11/2018 04:00:00","EDT","CENTRL",61754,892,1411,0,61,-1204
"08/11/2018 04:00:00","EDT","DUNWOD",61760,169,198,230,69,-38
"08/11/2018 04:00:00","EDT","GENESE",61753,606,186,0,59,-96
"08/11/2018 04:00:00","EDT","HUD VL",61758,628,118,181,44,-15
"08/11/2018 04:00:00","EDT","LONGIL",61762,1030,1444,0,167,-122
"08/11/2018 04:00:00","EDT","MHK VL",61756,359,156,0,36,-120
"08/11/2018 04:00:00","EDT","MILLWD",61759,84,61,44,78,-5
"08/11/2018 04:00:00","EDT","N.Y.C.",61761,2205,1738,1755,222,-17
"08/11/2018 04:00:00","EDT","NORTH",61755,76,337,0,5,-201
"08/11/2018 04:00:00","EDT","WEST",61752,808,584,0,149,-36
"08/11/2018 05:00:00","EDT","CAPITL",61757,848,201,0,24,-73
"08/11/2018 05:00:00","EDT","CENTRL",61754,928,1420,0,39,-1197
"08/11/2018 05:00:00","EDT","DUNWOD",61760,170,195,228,76,-37
"08/11/2018 05:00:00","EDT","GENESE",61753,618,193,0,94,-90
"08/11/2018 05:00:00","EDT","HUD VL",61758,627,118,179,111,-15
"08/11/2018 05:00:00","EDT","LONGIL",61762,1031,1444,0,165,-22
"08/11/2018 05:00:00","EDT","MHK VL",61756,367,158,0,24,-111
"08/11/2018 05:00:00","EDT","MILLWD",61759,73,60,44,43,-5
"08/11/2018 05:00:00","EDT","N.Y.C.",61761,2246,1715,1732,352,-17
"08/11/2018 05:00:00","EDT","NORTH",61755,75,340,0,27,-202
"08/11/2018 05:00:00","EDT","WEST",61752,823,590,0,122,-36
"08/11/2018 06:00:00","EDT","CAPITL",61757,870,203,0,89,-79
"08/11/2018 06:00:00","EDT","CENTRL",61754,955,1424,0,103,-1199
"08/11/2018 06:00:00","EDT","DUNWOD",61760,173,195,226,43,-163
"08/11/2018 06:00:00","EDT","GENESE",61753,629,199,0,23,-107
"08/11/2018 06:00:00","EDT","HUD VL",61758,652,120,176,46,-87
"08/11/2018 06:00:00","EDT","LONGIL",61762,1049,1446,0,188,-47
"08/11/2018 06:00:00","EDT","MHK VL",61756,389,156,0,34,-126
"08/11/2018 06:00:00","EDT","MILLWD",61759,107,59,43,38,-33
"08/11/2018 06:00:00","EDT","N.Y.C.",61761,2325,1754,1714,263,-74
"08/11/2018 06:00:00","EDT","NORTH",61755,81,339,0,10,-214
"08/11/2018 06:00:00","EDT","WEST",61752,842,588,0,109,-52
"08/11/2018 07:00:00","EDT","CAPITL",61757,926,207,0,97,-94
"08/11/2018 07:00:00","EDT","CENTRL",61754,1032,1440,0,88,-1141
"08/11/2018 07:00:00","EDT","DUNWOD",61760,185,197,239,105,-160
"08/11/2018 07:00:00","EDT","GENESE",61753,685,210,0,23,-142
"08/11/2018 07:00:00","EDT","HUD VL",61758,710,126,186,16,-113
"08/11/2018 07:00:00","EDT","LONGIL",61762,1223,1448,0,133,-194
"08/11/2018 07:00:00","EDT","MHK VL",61756,428,165,0,16,-111
"08/11/2018 07:00:00","EDT","MILLWD",61759,141,64,45,34,-38
"08/11/2018 07:00:00","EDT","N.Y.C.",61761,2542,1732,1804,206,-67
"08/11/2018 07:00:00","EDT","NORTH",61755,85,347,0,0,-229
"08/11/2018 07:00:00","EDT","WEST",61752,900,592,0,163,-51
"08/11/2018 08:00:00","EDT","CAPITL",61757,1006,219,0,73,-96
"08/11/2018 08:00:00","EDT","CENTRL",61754,1107,1452,0,27,-1146
"08/11/2018 08:00:00","EDT","DUNWOD",61760,199,211,260,143,-114
"08/11/2018 08:00:00","EDT","GENESE",61753,750,218,0,15,-139
"08/11/2018 08:00:00","EDT","HUD VL",61758,766,133,205,14,-56
"08/11/2018 08:00:00","EDT","LONGIL",61762,1471,1458,0,236,-282
"08/11/2018 08:00:00","EDT","MHK VL",61756,471,175,0,3,-117
"08/11/2018 08:00:00","EDT","MILLWD",61759,169,68,50,22,-57
"08/11/2018 08:00:00","EDT","N.Y.C.",61761,2790,1701,1881,250,-9
"08/11/2018 08:00:00","EDT","NORTH",61755,94,354,0,1,-253
