"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"08/24/2018 00:00:00","EDT","CAPITL",61757,927,209,0,0,-61
"08/24/2018 00:00:00","EDT","CENTRL",61754,1010,1448,0,50,-1222
"08/24/2018 00:00:00","EDT","DUNWOD",61760,172,205,210,0,-72
"08/24/2018 00:00:00","EDT","GENESE",61753,726,217,0,3,-191
"08/24/2018 00:00:00","EDT","HUD VL",61758,629,134,175,3,-88
"08/24/2018 00:00:00","EDT","LONGIL",61762,820,1443,0,32,-98
"08/24/2018 00:00:00","EDT","MHK VL",61756,410,170,0,2,-164
"08/24/2018 00:00:00","EDT","MILLWD",61759,129,64,40,0,-42
"08/24/2018 00:00:00","EDT","N.Y.C.",61761,2425,1515,1601,124,-89
"08/24/2018 00:00:00","EDT","NORTH",61755,78,342,0,1,-261
"08/24/2018 00:00:00","EDT","WEST",61752,928,640,0,105,-28
"08/24/2018 01:00:00","EDT","CAPITL",61757,882,204,0,0,-37
"08/24/2018 01:00:00","EDT","CENTRL",61754,969,1436,0,65,-1198
"08/24/2018 01:00:00","EDT","DUNWOD",61760,164,197,191,0,-67
"08/24/2018 01:00:00","EDT","GENESE",61753,680,210,0,8,-178
"08/24/2018 01:00:00","EDT","HUD VL",61758,591,131,160,0,-108
"08/24/2018 01:00:00","EDT","LONGIL",61762,670,1443,0,31,-73
"08/24/2018 01:00:00","EDT","MHK VL",61756,392,168,0,5,-157
"08/24/2018 01:00:00","EDT","MILLWD",61759,136,60,36,0,-60
"08/24/2018 01:00:00","EDT","N.Y.C.",61761,2291,1517,1426,110,-62
"08/24/2018 01:00:00","EDT","NORTH",61755,75,339,0,5,-220
"08/24/2018 01:00:00","EDT","WEST",61752,880,624,0,104,-13
"08/24/2018 02:00:00","EDT","CAPITL",61757,850,203,0,50,-51
"08/24/2018 02:00:00","EDT","CENTRL",61754,908,1430,0,59,-1224
"08/24/2018 02:00:00","EDT","DUNWOD",61760,161,184,178,0,-79
"08/24/2018 02:00:00","EDT","GENESE",61753,653,210,0,14,-187
"08/24/2018 02:00:00","EDT","HUD VL",61758,571,129,151,0,-85
"08/24/2018 02:00:00","EDT","LONGIL",61762,576,1441,0,30,-83
"08/24/2018 02:00:00","EDT","MHK VL",61756,358,165,0,16,-166
"08/24/2018 02:00:00","EDT","MILLWD",61759,125,58,34,0,-59
"08/24/2018 02:00:00","EDT","N.Y.C.",61761,2198,1511,1301,110,-125
"08/24/2018 02:00:00","EDT","NORTH",61755,75,337,0,5,-265
"08/24/2018 02:00:00","EDT","WEST",61752,836,616,0,100,-17
"08/24/2018 03:00:00","EDT","CAPITL",61757,837,202,0,101,-17
"08/24/2018 03:00:00","EDT","CENTRL",61754,913,1429,0,59,-1209
"08/24/2018 03:00:00","EDT","DUNWOD",61760,158,178,170,0,-64
"08/24/2018 03:00:00","EDT","GENESE",61753,634,209,0,9,-179
"08/24/2018 03:00:00","EDT","HUD VL",61758,552,127,145,0,-71
"08/24/2018 03:00:00","EDT","LONGIL",61762,531,1440,0,30,-129
"08/24/2018 03:00:00","EDT","MHK VL",61756,355,164,0,6,-171
"08/24/2018 03:00:00","EDT","MILLWD",61759,121,57,33,0,-41
"08/24/2018 03:00:00","EDT","N.Y.C.",61761,2166,1526,1228,110,-99
"08/24/2018 03:00:00","EDT","NORTH",61755,73,337,0,0,-259
"08/24/2018 03:00:00","EDT","WEST",61752,816,612,0,96,-39
"08/24/2018 04:00:00","EDT","CAPITL",61757,852,208,0,184,-24
"08/24/2018 04:00:00","EDT","CENTRL",61754,922,1438,0,64,-1188
"08/24/2018 04:00:00","EDT","DUNWOD",61760,158,176,166,5,-76
"08/24/2018 04:00:00","EDT","GENESE",61753,642,213,0,5,-162
"08/24/2018 04:00:00","EDT","HUD VL",61758,555,128,142,8,-67
"08/24/2018 04:00:00","EDT","LONGIL",61762,517,1441,0,36,-186
"08/24/2018 04:00:00","EDT","MHK VL",61756,360,168,0,18,-148
"08/24/2018 04:00:00","EDT","MILLWD",61759,85,56,33,5,-64
"08/24/2018 04:00:00","EDT","N.Y.C.",61761,2198,1504,1189,115,-110
"08/24/2018 04:00:00","EDT","NORTH",61755,74,337,0,12,-241
"08/24/2018 04:00:00","EDT","WEST",61752,825,622,0,46,-26
"08/24/2018 05:00:00","EDT","CAPITL",61757,889,218,0,81,-81
"08/24/2018 05:00:00","EDT","CENTRL",61754,985,1460,0,54,-1175
"08/24/2018 05:00:00","EDT","DUNWOD",61760,167,183,173,50,-141
"08/24/2018 05:00:00","EDT","GENESE",61753,684,228,0,1,-148
"08/24/2018 05:00:00","EDT","HUD VL",61758,574,129,143,0,-87
"08/24/2018 05:00:00","EDT","LONGIL",61762,592,1442,0,30,-91
"08/24/2018 05:00:00","EDT","MHK VL",61756,387,177,0,4,-166
"08/24/2018 05:00:00","EDT","MILLWD",61759,75,59,34,0,-34
"08/24/2018 05:00:00","EDT","N.Y.C.",61761,2343,1517,1217,62,-104
"08/24/2018 05:00:00","EDT","NORTH",61755,76,340,0,1,-240
"08/24/2018 05:00:00","EDT","WEST",61752,866,641,0,96,-27
"08/24/2018 06:00:00","EDT","CAPITL",61757,1038,149,0,54,-20
"08/24/2018 06:00:00","EDT","CENTRL",61754,1073,1494,0,51,-1136
"08/24/2018 06:00:00","EDT","DUNWOD",61760,182,200,188,51,-180
"08/24/2018 06:00:00","EDT","GENESE",61753,739,247,0,36,-150
"08/24/2018 06:00:00","EDT","HUD VL",61758,622,138,153,1,-168
